"From files: pickles/legal_pickles/legal_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
The key aspect discussed at this meeting is not only the need for more research but also the necessity of developing strategies to address this growing issue. The meeting will examine the issues and strategies proposed to be developed and implemented as part of this study with particular attention to the issues and challenges that must be addressed for this emerging technology to become a reality. We will examine the challenges in developing a comprehensive regulatory framework,"The key aspect of the law is that it is intended to provide legal immunity from civil damages for individuals who have been victims of sexual assault or harassment. As long as it is legal to engage in the same sexual activity with someone, the law will allow anyone who has felt violated by the act or has been the victim of it—whether the victim is a woman, man or child—to file suit against someone else if they believe that defendant did not intend it or acted out of negligence. However, sexual harassment law
 ",B,4,4,,B,4,4,,B,4,4,,,,,,,,,,,,,35_176_283
"It has been shown that the effects of the stressor on the hypothalamic-pituitary-adrenal axis are mediated in large part by the decrease in testosterone production. However, other studies have reported that the stressor may be responsible for the increased risk, and some have suggested that there may be an association between higher levels of education and lower crime rates, especially in areas with high","It has been shown that the human brain's capacity to recognize faces is dependent on both the size of the eyes and the position of the nose and mouth. However, it has been assumed that these two features are related to one another, and that the relationship between these features was established via a process involving the recognition of visual features. Using functional neuroimaging, we show for the first time that this relationship does exist and shows that the eyes do play a prominent role when assessing faces. Our results demonstrate that humans recognize faces
 ",Neither,4,5,,Neither,4,5,,Neither,4,4,,,,,,,,,,,,,53_682_887
"To conclude, the state of Israel, which has been an active state in the Middle East since 1948, will continue to be an active state in the Middle East in accordance with its constitution and law. The state will continue to maintain the constitutional order and law of the state, and will be prepared to defend the state and its people and will act as a guardian of justice and order in the state. In case of a state of war, as in case of the current crisis in the Palestinian territories, and as is
 ","To conclude, we are not aware of any evidence that suggests a higher incidence of sexual abuse of children has occurred in the United States compared with other advanced economies. Although sexual abuse in childhood has increased, it has declined over the decades, and in a recent report we identified a number of reasons for this change. In addition to the evidence of increased reporting, there is evidence that reporting is a tool",Both,4,4,,Both,4,4,,Both,2,4,,,,,,,,,,,,,32_649_828
"Views on the subject of immigration are mixed. Most agree that a nation should accept all immigrants who have been legally recognized as citizens of the U.S. and who meet a host of other requirements. But, a majority also say immigration laws have to be tightened. The Pew Research Center finds the following breakdown among the public:

About one-third (34%) say legal immigrants should","Views on the constitution
 By law, all state constitutions must have the right to be amended, but it is up to the state legislatures to enact the necessary legislation to amend the constitution.
 The state legislatures are responsible for drafting, adopting and amending the state constitution. The state constitution was written and passed by a state legislature. The state constitution is constitutional law.
 In order to be constitutional, the proposed state constitution must:
 be adopted by two thirds of the state senate;
 ",B,3,3,,B,3,3,,Both,3,4,,,,,,,,,,,,,8_352_271
"The connection between a man's life and his body is a very important part of what makes him a great human being, but it is also an intimate one. We all experience pain and pleasure in our lives, but the connection between body and mind is one of the most significant in the human experience.
 The brain, as you may already know, is our body's primary organ. This means that it is the one that controls our physical appearance, our thoughts, our actions and even our dreams. But
 ","The connection between a man's sexual orientation and his capacity to kill people has been widely accepted. But new research from the University of Wisconsin-Madison suggests that even though men are often accused of the crime, women are not immune.

""There is no evidence to support the idea that sexual orientation is a factor in murder,"" the study says. ""The results are consistent with a finding of",B,5,4,,B,5,4,,B,4,4,,,,,,,,,,,,,10_237_700
"The relationship of the two parties is one of the most important ones, and we're going to discuss these two issues in this blog post, but I will try to focus on two things here that are not covered in the law, but are important to both parties.

The parties to a contract

A court case involving the relationship of parties will be one in which the defendant has an","The relationship between a person's state of mind and his or her ability to judge risk has become a central topic in the research and law communities. For many years, law professors have argued that law students are not aware of how their minds work in order to make legal sense.
 But now a new study by law school graduates from the University of Michigan has challenged this argument.
 In the study, law school students in their early 20s were asked to judge risk, trustworthiness, and trustworthiness
 ",Both,4,2,,Both,4,2,,Both,3,2,,,,,,,,,,,,,45_394_195
"In summary, the law states, ""If an arrestee is found guilty of murder or manslaughter, he will be held liable for the murder or manslaughter of his wife or minor children."" In fact, the law states, ""The statute does not apply to a minor, but to a minor who was a minor at the time of the crime.""
 The law also states that, ""If an arrestee is found guilty of murder or manslaughter and the crime was committed while the defendant was in custody of law
 ","In summary, it seems that the United States has not changed its policy regarding the sale, transfer, and use of military equipment by other countries. The U.S. government, which has long had a policy of not approving sales contracts from foreign governments, has been more open to the idea in the past year, the White House said in an official response to a congressional subpoena for documents.
",A,2,4,,A,2,4,,Both,2,3,,,,,,,,,,,,,2_451_192
"To review, the argument of this petition is that the law will result in ""unwarranted discrimination of the disabled in law enforcement.""
 To review, the argument of this petition is that the law will result in ""unwarranted discrimination of the disabled in law enforcement.""
 The law will make it legal to arrest, search or arrest without warrant for the misdemeanor crime of being a minor in possession of illegal drugs.
 The law will make it legal to arrest, search or arrest without warrant for
 ","To review, I've just read an article in the NYT, ""Is there a connection between smoking marijuana and mental illness? ,"" which I think is probably the best way of explaining how the article's conclusion is wrong. It is based on a study, a report by the Department of Justice and the Department of Health and Human Services, and I'm sure a number of people will disagree with my",A,3,4,,A,4,4,,A,3,4,,,,,,,,,,,,,17_719_876
"Furthermore, we are not talking about an actual ""game"" that will actually be played, but rather an online game that has players participating in real world battles against AI opponents. We're talking, for example, about a hypothetical ""war"" of words, which could be between ""the law,"" ""the police,"" or ""the people."" The people would be those who would not be bound to","Furthermore, the law's provisions on legal counsel will not be subject to appeal or appeal review under the Supreme Court's law review rules, which will apply to law firms and trial lawyers in order to avoid legal challenges to the constitutionality or constitutionality of the law.
 ""I think we should be able to judge the law on its face and not wait for legal challenges or legal challenges to legal law in order to make a case about it,"" said David H. Friedman, lawyer with the law firm Friedman
 ",Both,3,3,,Both,3,3,,B,3,3,,,,,,,,,,,,,25_754_397
"An illustration of a ""dinosaur"" fossil found on the floor of a cave in northern Spain has been discovered by researchers, who say the discovery will shed new light on the origins of dinosaurs.
 The discovery is a discovery of dinosaur bone that will help to explain the evolution of the dinosaurs and their place in the evolution of life on Earth.
 The discovery was made by a team of scientists from the University of Tenerife in Spain who will present the discovery at a congress in France this week.
 ","An illustration of the Earth and moon from the Hubble Space Telescope.

The Moon is a planet, the astronomers conclude, and that's why NASA has decided to launch a new survey to look for signs its surface has an unusual habit of forming a ""fossilized shell.""

The study, to be published by a team of experts in the spring, is based partly on new",Neither,2,5,,Neither,2,5,,Neither,2,4,,,,,,,,,,,,,21_113_866
"An illustration of a solar flare, which occurred during a rare solar eclipse, on Sept. 21, 2010, on a solar observatory near Cape Canaveral.

A rare solar eclipse will take place on Aug. 20 as it passes over parts of the continental United States. That means you're in a good position to witness the event from a few dozen feet away. You can watch it live","An illustration of the discovery. Credit: Science
 A team led by researchers at the University of Texas-Austin (UTA) is the first to discover a way to detect gravitational waves using an extremely sensitive instrument. This discovery will help scientists to understand how the universe is built up and will help us design new technologies.
 ""Our discovery will help us to predict when the next big bang will occur, but it will also help us to better understand how the universe is expanding now and in the future,""
 ",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,23_206_709
"More importantly, it's the first time that a court has ruled that an employer can fire people based on their sexual orientation.
 It was announced Wednesday by U.S. District Judge David Tatel of New York that a federal jury has found that Hooters restaurant chain discriminated against a lesbian couple by firing them for being lesbians.
 Hooters was found liable by the jury for denying them benefits because they weren't married. They claim that discrimination resulted when management decided to bar them from certain sections at the
 ","More importantly, we have now seen what the FBI has been up to since 9/11: a massive operation with an unprecedented scale and a number of people who would never, ever be considered suspect in their own right.


And now, the Justice Department is investigating whether the FBI illegally used a sting warrant to gather information on millions of American citizens to serve warrants for their arrest in foreign court",Both,4,4,,Both,4,4,,Both,4,4,,,,,,,,,,,,,49_821_184
"Prior to this year, the state of Ohio had no law that would allow law enforcement officers to carry weapons when off duty, but in the wake of mass murder that occurred in Charleston on June 17, 2015, the state of Ohio lawmakers passed legislation that would make law officers who are in uniform carry guns.
 The new law will take effect on August 1.
 In a press release from the Ohio law enforcement community, state Sen. Jon Husted, R-Canton, said the law will
 ","Prior to this week's episode, we had a lot going on. We started the episode with some discussion about the future, including how the new season will start with a bang. After the break, we look at what we can expect from the show, the new episode of The Good Wife and more.

In the wake of the murder trial in the murder trial of former FBI agent Aaron",A,5,2,,A,5,2,,Both,4,4,,,,,,,,,,,,,37_755_848
"The key aspect discussed in this article is that the two main types (the non-standard and standard) are both based on the same concept (a ""class"") and therefore share some fundamental attributes. The main differences between them are whether they are implemented as a method of a class or a method of an argument. For instance, you can have a function called add() that returns the value of","The key aspect of these new models will be their ability to deliver power at high resolution, which will allow the device to perform many types of complex calculations. In a recent paper on quantum computing published in the Journal of the Royal Society Interface, researchers at the University of California, San Diego and the University of Michigan state that a quantum-mechanical device will be able to perform these calculations.
 In the study, they describe a device that can perform quantum-mechanical calculation in a single state.
 ",Neither,4,5,,Neither,4,5,,Neither,4,4,,,,,,,,,,,,,34_600_615
"The issue focused on the constitution in light of the Supreme Court's 2010 Citizens United decision, in which the court said corporations are people and can be held liable for political activity.
 While the justices did not specifically address the constitutionality of the state's law, a state law in Arizona that allowed for the state to file a lawsuit to bar unions from participating in political activity did not appear to be affected.
 The law's constitutionality was ruled in part by a federal court judge who said the law was legal
 ","The issue focused on a recent case where a woman in the state of Texas was arrested for allegedly having an affair with a police officer. The incident, which was later cleared by the state courts, sparked outrage from the American Civil Liberties Union, which called the case ""a clear example of state interference in the police's ability to make arrests"".

The ACLU argued in a legal brief that Texas",Both,4,5,,Both,4,5,,Both,4,4,,,,,,,,,,,,,55_225_624
