"From files: pickles/politics_pickles/politics_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,
"The key aspect discussed at this meeting is what can be done with the data we already have about the economy as a whole: how do we build more efficient economies? In other words: what is the best way to achieve these objectives? What will it cost? And what are the risks?

This discussion will begin with a review of government spending over the past 20 years, including taxes,","The key aspect of the state of the political and economic order in India is not to say that politics is the most important thing, but rather to state how politics is becoming the most important thing.
 The political order is a state of affairs of politics in India; politics cannot be the sole state of politics. The state cannot exist in its own right. The political order is not the state of politics but rather politics as state. Politics as state exists because democracy exists.
 In democracy politics becomes politics as
 ",B,3,2,,B,3,2,,Both,3,3,,,,,,,,,,,,35_176_283
"It has been shown that the brain is capable of storing and retrieving mental data, including memories. In fact, the brain can store up to 200 million of them, and it uses these to perform complex mental tasks. It is the brain's ability to store and remember that enables it to remember and recall events.

Memory, as the primary mechanism by which memory is maintained and retrieved, is","It has been shown that the ability to identify and understand complex language can result in improved speech recognition performance in young children. The present study investigated whether children who speak fluently are more likely to achieve high-level fluency with respect to the English language. Using an interview format that allows the child to state his or her language skills independently and to ask for additional information, three groups of children were interviewed on whether they knew enough English to understand fluently the sentences spoken during conversation. The majority of participants had mastered fluency
 ",Neither,3,4,,Neither,3,4,,Neither,4,4,,,,,,,,,,,,53_682_887
"To conclude, the state of Israel, which has been an active power in the Middle East since 1948, has no choice but to accept a Palestinian state as a precondition for establishing peace with the Palestinians.
 A Palestinian state cannot be established without the support of a majority of the Palestinian population in the West Bank and the Gaza Strip. It has been clear from the beginning that a state would have to be based on the state of Israel, which is in direct conflict with the legitimacy of the state of Palestine
 ","To conclude, a new generation of researchers has been exploring the role of the environment as an agent of social change. The most promising areas to look at are environmental policy and governance, political economy, and public policy. The study of politics, however, has often been confined to the political realm, and political economy has rarely been considered an integral part of it.

A New Political Economy of",B,4,3,,B,4,3,,B,3,4,,,,,,,,,,,,32_649_828
"Views on the matter have been divided between the two sides of the spectrum.

The Australian Broadcasting Corporation's News Corp Australia and The Financial Review newspaper said the government should scrap the law in order to protect Australian citizens from tax scams.

The Government has said it would consider the advice on taxing overseas income but not the tax implications of taxing it overseas.

But Senator Nick Xen","Views on the constitution
 By Dr. William F. Buckley Jr.
 The constitution is a document of government by the people, approved by them, and interpreted by them. Its authority, however, is absolute, and it must be respected and obeyed.
 The majority of the state governments of the United States, however, have failed to follow these principles. In the past they have been guilty of political manipulation, or at best of misapprehension of constitutional authority, and have given
 ",Neither,4,4,,Neither,4,4,,Both,4,4,,,,,,,,,,,,8_352_271
"The connection between a man's life and his property is a very important part of property ownership in the United States.
 The U.S. government has created the Uniform Residential Landlord and Tenant Act (RLUTA), which gives property owners a lot of power to control their neighbors.
 The law, which was passed as the Landlord and Tenant Act of 1936, gives property owners a power to:
 1. Deny or refuse to sell property to any person or entity
 ","The connection to the internet and to technology is one of many factors that determine who ends it up in a person's life. But it's also the one that can't be changed.

""I don't think people really realize how difficult it is to make a change in a system,"" said former Republican state Rep. John Bocchini, who ran for governor against Democrat Jim Boc",B,5,5,,B,5,5,,Both,4,4,,,,,,,,,,,,10_237_700
"The relationship of the American people to government is one of profound distrust. As the nation is increasingly controlled by a small number of elites, we have little interest in the government that is supposed to serve the people. The government itself has grown increasingly unaccountable to the people, and is the only institution in our society that the government is required to obey. This makes it impossible for any government, no","The relationship between a person's state of mind and his or her decision to engage in illegal activities. The relationship between a person's state of mind and his or her decision to engage in illegal activities.
 The U.S. government has long held the view that it is a primary responsibility of the government to prevent, detect, and prosecute individuals who seek to engage in illegal activity. But as the government's power to stop such activity has expanded, it has also sought to broaden its reach to include individuals
 ",Neither,4,4,,Neither,3,4,,Both,4,4,,,,,,,,,,,,45_394_195
"In summary, the state government of Kerala has decided to allow a government-owned bank in order to reduce government corruption, but it is yet to announce the date for it's inauguration. The government has also given an order for the establishment of a government-run bank, but that is yet to go up for approval.
 The government has also decided to provide government-owned power to power plants, but the power will be provided by power utilities.
 The government of Kerala has also decided to establish
 ","In summary, it seems that the United States has the worst record in terms of environmental policy.

A report by the Environmental Protection Agency (EPA) says the US has a ""lack of public knowledge"" on environmental policies affecting climate change.

The report, released to the media in Washington DC, is part of a global survey of climate science and climate politics that will be released",B,3,4,,B,4,4,,Both,2,4,,,,,,,,,,,,2_451_192
"To review, the primary reason we don't want to have an infinite amount of government in our lives is that our government is not going to be infinite. We are going to get tired of dealing with the government. The government is going to run out of money, and the only thing it can do is try to make the government as big as it can get away with being.
 The government's primary job is to protect us in case we do something illegal, or it wants us to do something illegal,
 ","To review, I've been working on a new book project, and this year I decided to write about how to make a successful startup, in this case a startup that helps people build a business. In the process of writing, I've come to a new set of ideas about what makes an ideal startup.

I'm not a lawyer; that is not my profession. But I'm",Neither,4,3,,Neither,4,3,,A,2,3,,,,,,,,,,,,17_719_876
"Furthermore, it was only the latest attack in a string of recent incidents by the Taliban in Kabul where the government has responded with the use of heavy firepower.

In February, a suicide bomber targeted the presidential palace with a roadside bomb. In March, the government announced it had killed two Taliban insurgents who had entered the city from neighboring Pakistan by car and had tried to storm security forces.
","Furthermore, the fact that we are living in the 21st century is not only about technological advancement, but also about the social and political context in which it takes place. As technology advances, we are seeing a rise of authoritarianism across the developed world.
 ""The state, by definition, is in power and the state is not necessarily in power to begin with and it is not necessarily in power to end with. The state is in power to protect its power.""
 We have seen this dynamic
 ",Neither,4,4,,Neither,4,4,,A,4,4,,,,,,,,,,,,25_754_397
"An illustration of a ""dinosaur"" fossil found on the floor of a cave in northern Spain has been discovered by researchers, who say the fossil's jaw is more closely related to modern birds than previously thought.
 ""This is quite an exciting discovery as the jaw of the fossil, which has been in the ground for a long time, has been discovered in an area that was not known for fossil remains,"" said lead author, University of La Laguna's Dr. José Ponce de Leon.
 ","An illustration of a ""smart"" device using a quantum computer. (Image: Wikimedia Commons)

The world is on its last leg, and the pace of innovation seems to be slowing, as the world's population continues to decline, and the ability of states to fund their own security is being eroded. In response, many countries around the world are moving to a ""state of the nation",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,21_113_866
"An illustration of the first generation of solar cells, which are capable of storing more energy per pound than traditional batteries. Credit: University of Maryland, College Park

Solar electricity production will reach a record high by mid-century thanks to a surge in the amount of power produced from new technology, according to a research paper.

The report, commissioned by solar power producer SolarWorld, says","An illustration of the solar-powered rover Curiosity's mast-mounted Chemistry and Physics instrument, which has been used to measure the composition of the rock samples on Mars' Gale Crater and at Gale Crater's south pole.
 The Curiosity mission's Chemistry and Physics instrument, known as MAHLI, was designed to measure the chemical compositions of rocks on Mars' Gale Crater.
 In order to perform the instrument's primary purpose, the rover will be carrying a sample scoop to a location on the
 ",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,23_206_709
"More importantly, it's the first time that a single state has passed this legislation. The majority of states are now looking to make gun restrictions less restrictive by expanding state background checks to include private gun sales, as well as expanding the state's assault weapons ban to include semi-automatic weapons.<|endoftext|>A few years ago, an acquaintance asked me about the state of the Internet and I thought that it would be helpful for anyone who had to navigate it to write down everything she'd seen or heard about it on Twitter and
 ","More importantly, the study also shows that the majority of the people who have experienced discrimination are women.

""It was important to us to get women's voices heard, because we are a country and a state that is built and built on women,"" said Republican Rep. Ann Wagner, a Michigan state lawmaker who has led the opposition to a state budget.

In the state legislature,",Neither,4,3,,Neither,4,3,,B,4,4,,,,,,,,,,,,49_821_184
"Prior to this year, the number of children being referred to the state's mental health authority had fallen to its lowest level in two decades, according to figures from the Department of Children's Services.
 The state has a waiting list for state children's mental health services, but the state has only been able to provide care to some people on that list for so long because of government budget cuts.
 The state's state-run mental health authority, the state Department of Health Services, has been unable to
 ","Prior to this week's presidential election, there was a sense that the Democratic Party was poised to reclaim political power. But as of this week, it remains in the minority. As a result, the Democratic Party has lost political power at every level of government.

In recent years, Democratic governments across much of the country have failed to achieve progressive political reforms. This is especially evident in state",B,4,5,,B,4,4,,B,4,4,,,,,,,,,,,,37_755_848
"The key aspect discussed by the government is that it would be easier to implement than any of the other policies currently being implemented, which have proven costly, disruptive and ineffective for Australian businesses.


While a number of governments have been criticised for not having a comprehensive, effective tax and transfer tax system, Australia's is not one of them.

It is not the tax system we have,","The key aspect of political power is political power in its most effective form. It is a form of power in which there is no political power, because power is a social property of politics. Political power, however, is often the product of political power. This is the power to influence others. The power to influence others, however, is usually not political power.
 This is not the case for political power. The power to influence others is often political power, which is often expressed in the form of power
 ",B,4,1,,B,4,1,,Both,4,1,,,,,,,,,,,,34_600_615
"The issue focused on the constitution in light of the Supreme Court's decision that state constitutions are subject to state law.
 The court's order comes as state and local governments across America have grappled with how to deal with a court order that has forced them to change their state constitution to protect gay people from discrimination.
 ""The constitution is not the government of America,"" said state Rep. Matt Cartwright, a Democrat from St. Louis, who introduced a bill in April requiring all state government documents to
 ","The issue focused on an alleged violation of federal laws on the sale of alcohol and tobacco. But the lawsuit alleges the state also violated state and federal laws by denying people in the program benefits.

The lawsuit also alleges that state officials discriminated against those who were already receiving government benefits for their own financial benefit — including food stamps, unemployment insurance and child benefits. The state also has been fined more",Neither,5,5,,Neither,5,4,,Both,4,4,,,,,,,,,,,,55_225_624
