"From files: pickles/science_pickles/science_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"This essay discusses the fact that there is no single theory of how the human brain developed in relation to the evolution of other brain parts.
 The evolution of the brain is often viewed as an evolution of the body.
 The hypothesis that brain evolution is a matter of evolution of the brain (as the theory of evolution of the animal kingdom), is based on an assumption that evolution of the brain is a matter of evolution of the cell (as it is in cell evolution).
 But if evolution of cell
 ","This essay discusses the relationship between the development of a new species and the formation of a stable population structure under the control of natural selection. In general, evolutionary theory suggests that species evolve in a stable environment with an equilibrium population structure. However, this theory is only useful for species whose evolution is based on evolutionary theory. If we want to study species diversity, evolution and evolution in evolution theory, we",Both,3,4,,Both,3,4,,Both,4,4,,,,,,,,,,,,,3_65_860
"The key aspect discussed in this article is that the two main sources – one from the scientific community and one from the media – are not always mutually consistent.

In science there are multiple scientific studies and many scientific papers are published each year, yet there is very little data or knowledge on which the conclusions are based and therefore, no scientific study is 100 percent scientific – or even completely scientific!","The key aspect of the current study is that, despite the fact that we used a control group that did not use the same treatment as those who received placebo for at least one month, our data do not support the hypothesis that a single measure of treatment efficacy would result in better outcomes.
 The current data also show that placebo effects in the control group were not sufficient to produce significant differences in outcome among individuals receiving placebo ( ). The placebo group had significantly improved outcomes compared with the control group receiving placebo only once (
 ",Both,4,4,,Both,4,4,,Both,4,4,,,,,,,,,,,,,35_176_283
"It has been shown that there is a difference between the levels of serotonin, the neurotransmitter of emotion, and dopamine. It is possible that serotonin plays a role in mood disorders such as depression and addiction but, as far as we can ascertain, it is a chemical, not a physical thing.

There is a link between serotonin and brain function

The chemical that controls brain chemicals is","It has been shown that the amount of energy produced in an electrical circuit depends on temperature. This energy can be used to power the cell and control other processes like heating and cooling. But if temperature is a problem, then what if the energy used to control temperature can also be used for other things like making electricity?
 The physics behind the energy of electricity is well understood in physics theory. But what does electricity actually produce? In fact electricity can actually generate electricity without producing energy. This can occur when electrons interact with
 ",A,4,4,,A,4,4,,Both,4,4,,,,,,,,,,,,,53_682_887
"To conclude, the fact that this is not the first time the U.S. government has attempted to force companies to hand over data, even when doing so would violate their privacy laws, does not mean that the data is secure. Indeed, it may be a matter of public record. In fact, the data that was released was from the FBI's National Security Letter program, which is the primary tool of U.S. law enforcement in data mining.
 In fact, data mining is not just another
 ","To conclude, a new generation of researchers has been exploring the role of the brain as an organ and its relationship to the body and mind, and it is increasingly clear that brain and brain systems are not only involved in many aspects of biology, but are also fundamental to human behavior.

The most striking result is that the brain is highly adaptable, with a high level of genetic variation and",B,4,4,,B,4,4,,B,4,3,,,,,,,,,,,,,32_649_828
"Views on the issue are mixed. The American Medical Association recently concluded that the practice of circumcision has no medical benefits and that it is unethical, and a recent study suggests some medical experts disagree.

But in an article posted online, scientists from the University of California, Berkeley, show the scientific evidence is inconclusive, at best, and that circumcision has health benefits for children.

","Views on the topic: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 The question asked is whether you are willing to take part in the study and/or participate in a follow-up research study.
 In this case I have been contacted by an independent research team led by Dr. John H. G. Kosten in the Department of Psychology at the University of California, Irvine.
 The research
 ",Neither,5,3,,Neither,5,3,,B,4,3,,,,,,,,,,,,,8_352_271
"The connection between a man's life and his death is a very strong one. This connection will be explored as we go through the first episode of Season 2. It's important that we understand that it's a story, not a documentary. This will be a story, not a research document. This is an experiment.
 In the beginning, we were given the idea that the show was going to be a story, a piece of research that we would do in order to explore some of the bigger themes
 ","The connection between the two sides of the political divide has been a topic in political science for decades, but it has never been fully investigated, and a new study suggests it is not so easy to separate fact and opinion.

Researchers found the two sides had a common factor of belief about the relationship between scientific and political knowledge. Their findings, published today in Nature Communications, suggest this connection is",Neither,4,4,,Neither,4,4,,Neither,3,4,,,,,,,,,,,,,10_237_700
"The relationship between the human brain and the body is not static and does not require a constant supply of oxygen. As the body's metabolism is controlled by the environment (heat-dependent metabolism, respiration and chemical reactions, pH balance) oxygen can be stored in the blood stream. This is known as the metabolic buffer, or the ""metabolic buffer theory"". The metabolic buffer theory of oxygen transport","The relationship between a man's sex drive and his ability to have sex with women has long fascinated me. It's a theory I have always held strongly, but never fully explored or understood. I think that the science of sexuality is slowly coming into line with the science of biology, and it's beginning to show that there is some sort of biological basis on which men's sexual drives and sexual behaviors can be explained.
 A study published in 2012 in the journal Evolutionary Psychology examined what makes men more sexually
 ",Both,3,4,,Both,3,4,,Both,4,4,,,,,,,,,,,,,45_394_195
"In summary, the fact that a woman can't get an abortion is not in itself evidence that the laws are unconstitutional, but it is evidence that laws that target certain groups have failed to achieve their stated goals. The law has been upheld on multiple occasions.
 A similar case, involving an Alabama law that required women to wait 24 hours before getting an abortion, was ruled unconstitutional. The Supreme Court agreed that the law was a violation of the Equal Protection Clause of the Fourteenth Amendment.
 In 2013
 ","In summary:

The main goal of this paper is to examine whether a specific form of self-regulation, the self–regulation of emotion (or emotion‐driven behavior), can explain a wide range of observed and hypothesized effects of social and psychological data on intelligence, including those that are observed in the scientific literature and are associated with intelligence (e.g., research studies of the brain,",Neither,5,3,,Neither,5,3,,B,4,2,,,,,,,,,,,,,2_451_192
"To review, the theory of evolution requires that evolution occurred in the fossil record. In the fossil record, there are many kinds of fossil data, including fossil records, fossil records with fossils, fossils with no fossils, and fossil records with fossil fossil. In each of these data, fossil data is used to determine the evolution of fossil.
 The theory of evolution is supported by the theory of evolution in fossil data.
 There is also the theory of evolution in fossil data: fossil data is used to determine
 ","To review, I've got a couple of things to tell you. First I want you to remember how to get into it. I've tried to explain this in more detail elsewhere, for example here or here . But there's another side to this story. The first time that I did this exercise my partner was on the receiving end of a nasty case of the ""Hockey Stick  ",Neither,4,4,,Neither,4,4,,A,2,4,,,,,,,,,,,,,17_719_876
"Furthermore, we are not talking about an actual ""game"" that will ever be played, but rather an experiment. The idea behind these games is that by observing humans playing them you will discover a few interesting phenomena.
The first and most important phenomenon, as far as I know, is that there is no difference between the human and non-human animal brain. In fact, the brain of","Furthermore, the report said the ""most recent data from the U.S. Census Bureau indicate the population of the U.S. has grown faster than in most other nations since 1990.""
 The report also said ""the proportion of people living in extreme poverty, which is $2 or less a day, has more than doubled."" The report also said ""the share of the total population living in extreme poverty is at a record high of nearly 15 percent.""
 ""These figures are particularly alarming given
 ",Neither,5,4,,Neither,5,4,,A,4,4,,,,,,,,,,,,,25_754_397
"An illustration of a new type of superconducting particle. (Image: NASA/JPL/Univ. of California, Santa Cruz)
 A research team led by UCLA physics professor David W. Pash, professor of astronomy and astronomy research in the physics and astronomy department, has discovered the first superconducting superconductor. In their paper published today in Nature Nanotechnology, Pash and his team report the research results and present new data that may lead to a breakthrough in superconductivity research
 ","An illustration of a solar flare, which occurred during a rare solar flare on July 4. Credit: ESA, NASA, and the Hubble Heritage Team (STScI) A solar flare has been identified for the first time by astronomers using the Hubble space observatories to study the physics of space weather, a new study finds.

This is a picture of what the plasma of the sun could",Neither,4,4,,Neither,4,4,,Both,4,4,,,,,,,,,,,,,21_113_866
"An illustration of a quantum superconductor with a superposition of states, one in which the energy content increases, and one in which there is no energy, showing the transition to quantum entanglement. (Courtesy of the University of Illinois at Urbana-Champaign, University Physics Department)

The most important quantum phenomena that scientists have studied so far are those that can occur between","An illustration of the particle-beam fusion experiment at CERN
 The particle-beam fusion experiment at the Large Hadron Collider (LHC), in Geneva, Switzerland, has begun to observe new data from the experiment's data storage and processing system. The first data are now available for analysis.
 The data, obtained in the laboratory of Professor Martin Rees from the University of Manchester, will allow the experiment to measure and measure better the energy of new physics that is predicted from the LHC data.
 ",Neither,4,3,,Neither,4,4,,Both,3,3,,,,,,,,,,,,,23_206_709
"More importantly, it's the first time that a mass shooting has occurred at an NFL stadium. The incident was the second time in less than two weeks that an NFL facility has been the scene of a mass shooting. The first was the mass shooting at Sandy Hook Elementary School in Newtown, Connecticut on December 14, 2012.
 On the same day the mass shooting occurred at the stadium, an employee at an Eagles locker room facility on Philadelphia's campus reportedly pulled two handguns from the locker room locker room during training camp
 ","More importantly, it's the right time to do something.

It's time to step away from the comfort of home and the world of business and move on to an exciting new chapter. The new chapter will take the business and technology world to a new scale. It will transform how we build, measure and understand data.

This book, Data Science for Business and Data Scientists:",B,3,4,,B,4,4,,B,2,4,,,,,,,,,,,,,49_821_184
"Prior to this year, the United States had been on a path to become the world's largest producer of electricity with more than 4.1 gigawatts — or enough electricity to light nearly 6 million homes in the U.S.
 But with recent energy-market data showing the U.S. is still lagging, that number has fallen to just 3.5 gigawatts, or enough electricity to power more than 1.5 million homes in the U.S.
 And that's just one
 ","Prior to this year, we had no idea that the government could force Americans to buy the devices we use every day. This was a revelation, and a victory for consumer advocates who fought hard to make it illegal to sell our phones without a warrant.

The new bill would also require a warrant for all cellphone searches, including those of our cell towers. That will require new rules, but",Neither,3,4,,Neither,3,4,,Neither,3,4,,,,,,,,,,,,,37_755_848
"The key aspect discussed in the paper is that there is evidence that the human brain is wired differently from other animals. It is not clear whether the different patterns of neuronal activity are responsible for certain mental states, or if we have evolved to develop a certain set of cognitive abilities that are more or less specific to specific brain regions and brain functions. However, the study does show a clear evolution of human","The key aspect of research in biology that can help us understand how evolution works is to know how evolution works. This is not just about how things evolve. This is about how evolution occurs. Evolution is a science. The theory of evolution is also a science.
 The fact that evolution is a science has been known to evolutionists for centuries. But what they have neglected to mention is that evolution is not a theory. It is a fact.
 This is because evolution has nothing to do with science.
 ",Both,4,3,,Both,4,3,,Both,4,2,,,,,,,,,,,,,34_600_615
"The issue focused on the possibility of using chemical weapons as a tool of regime change in Syria, but was also a measure of U.S. support for the rebels' cause.
 The resolution also said that it was time to take ""strong, decisive action"" to ""deter and destroy"" the chemical weapons that the rebels are using against their government and people, adding that it was the responsibility of all members of the international community to take such action.
 The United States backed the measure on the basis
 ","The issue focused on a single sentence, as if it were a simple sentence, but the sentence could have contained more information, or it could just have been an example of a common phrase. This was a major issue, and this issue had the potential to be solved by a single algorithm: the word-comparison algorithm .

This is a technique that allows you to use data from",Neither,5,4,,Neither,5,4,,Neither,3,4,,,,,,,,,,,,,55_225_624
