"From files: pickles/space_pickles/space_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"The key aspect discussed in this chapter, in terms of the role of human capital in the evolution of global economies, is a key question for economists and policymakers in the future, as global trade flows become more complex and the need for global infrastructure becomes ever-more urgent.

To address this problem, a new type of nanotube material, a graphene-based nanoelectronic material","The key aspect of the new law is that a criminal conviction will now only carry a maximum sentence of 15 years.
 The move comes after the Supreme Court ruled that the previous law should be dropped, but it has also been widely criticised for being overly lenient on crime and for not adequately protecting those with mental health issues who may be affected.
 The bill also allows police to refuse to register anyone if there is ""no credible threat to society"".<|endoftext|>When I was little, my sister used to tell
 ",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,35_176_283
"It has been shown that the effects of the stressor and the duration of the exposure have a critical period (the duration of time the organism must be in before it has any effect), but how can you know when the stressor has been eliminated?
The ""A"" word is not a letter and it does not have an ""i"" in its middle space, like in ""a space","It has been shown that the amount of energy produced in the body during exercise has been related to the degree of exercise performance. In the present study, we investigated whether the increase in energy production during exercise in the upper body was associated with the increase in energy expenditure during exercise in the upper body. Eight male subjects (age: 24 +/- 0.5 years, mass: 74 +/- 3 kg, height: 178 +/- 5 cm, weight: 79 +/- 3 kg, VO 2 max: 72 +/- 8 ml · kg−
 ",Neither,4,5,,Neither,4,5,,Neither,4,4,,,,,,,,,,,,,53_682_887
"To conclude, the most important aspect to note from this study is the fact that this study provides evidence of the existence of a relationship between a common genetic polymorphism and obesity. However, this relationship was not found to be a causal one because of the lack of a control. In other words, this study is not able to show that the relationship between the SNP and obesity is causal.
 We found that the association was not a causal one. However, it was still significant, indicating that the genetic polymorphism
 ","To conclude, a large majority of people believe that their government should do more to protect its people in the event of an attack by terrorists. This is the first time in the history of the world that a group of people have gathered together around one goal to create a better world. The first time we were all together, the earth, and all space, was our home planet earth. We are",Neither,4,3,,Neither,4,3,,Neither,4,3,,,,,,,,,,,,,32_649_828
"Views on the role of religion in education: a review of research, policy and practice

The authors, including two of their graduate co-researchers, are interested in exploring ways to make science and technology more accessible to more people. The project is called The Space Between, in the form of a three dimensional cube that can be rotated 360 degrees. The space is composed of","Views on the topic, which began in 2008, have grown steadily since then.
 The issue, which was first raised at a recent gathering of U.S. senators from both sides of the aisle, was discussed in an online forum, as well.
 ""If you want to do something, you have to be able to say you're doing it responsibly,"" said Sen. Jeff Sessions (R-Ala.), the chairman of the Senate Judiciary Committee.
 Sen. John Cornyn (
 ",Neither,5,4,,Neither,5,4,,Neither,4,4,,,,,,,,,,,,,8_352_271
"The connection between a man's life and his death is a very strong one. This connection will be explored as we go through the first half of Chapter 1. It's important that we understand that we are not simply going to be examining the events and characters of the man's life, but also his life as a human, and we will also be examining the nature of his death, and our relationship to it.
 A few months back I did a story with The Unbearable Lightness of Being
 ","The connection between the two sides of the brain may help us to predict whether or not we're being watched. A study published in the American Journal of Human Biology suggests that, at least in some areas of the human brain, the amygdala has a ""time lag"" between stimulus and response that is longer than time, and may be shorter than the distance between two stars.
The universe is a",Neither,3,3,,Neither,3,3,,Neither,3,3,,,,,,,,,,,,,10_237_700
"The relationship between the United States and Russia is the largest military relationship that exists in space. Both nations are members of the International Space Station (ISS), but are not directly orbiting the Earth. They use space stations for cargo and experiments to conduct science and research.

Both countries are spaceflight pioneers and have developed space systems that provide spaceflight access for their citizens. Russian rockets are currently in","The relationship between a man's sex drive and his ability to be a father has long fascinated evolutionary scientists. But what is it that makes men more fertile?
 In his latest study, published in the journal Evolution, evolutionary psychologist Steven Pinker explains that, for a man, a woman's desire to have sex with a man is an adaptation to her ability to produce eggs.
 In other words, a man's sex drive is a survival strategy: The more fertile a male is, the more successful
 ",A,4,4,,A,4,4,,A,4,4,,,,,,,,,,,,,45_394_195
"In summary, the new version of Windows 10 includes a new, much faster version of Microsoft Edge, which should help it stand out in the crowded desktop market. While there are several reasons why Microsoft Edge has been updated, there's nothing quite like this new build to get you up to speed with its new features.
 New Microsoft Edge Features
 New Microsoft Edge features include:
 Better security
 The new build of Microsoft Edge includes a new ""Security Team"" mode that will allow users to
 ","In summary, a recent study found that a combination of the two can help reduce stress and reduce your risk of heart disease and stroke, and it's safe to drink alcohol, according to a new study.
The study, published in the journal Nature Climate Change, shows that the sun is the sun, not Earth. The sun isn't a star.
A new planet is being discovered that",B,3,1,,B,3,1,,B,3,2,,,,,,,,,,,,,2_451_192
"To review, the original is here . The translation is here . This review was written in French for the site's French language site.
 As I sat in an airport terminal waiting for another flight, I had a sudden thought: ""How is it possible to be a man when you can't get your hands on a penis? I wonder if this is just a coincidence.""
 I've never met a woman with a penis, but I have met many a woman with an anus.
 The idea
 ","To review, in this review we will focus on two aspects:

How do I make my own custom mousepad? How do I get a new one? How do I make it look good?

I've used a mousepad a few times since I moved back to New Orleans, and they always have a place that fits my small space. I always keep an eye out for",Neither,1,4,,Neither,1,4,,Neither,2,4,,,,,,,,,,,,,17_719_876
"Furthermore, a study published in the Journal of Applied Physiology found that while the brain of a person with a severe form of epilepsy was able to control a motor vehicle, that of a person without a history of seizures was unable to operate one of them.
The U.S. government has a number of national and international space programs. SpaceX was founded in 1997 by Elon Musk, the","Furthermore, the ""bulk"" (or ""huge"" as you might say in English) is not what the average person is thinking of when they think of an asteroid impact. It is an asteroid that has a larger mass than the moon and is more than a billion times the size of Earth, so it's a lot larger than what's considered the asteroid belt. In this case, it's an asteroid that is a million times as massive as the moon. It is estimated that it will impact earth
 ",Both,1,4,,B,1,4,,Both,2,4,,,,,,,,,,,,,25_754_397
"An illustration of a new type of superconducting magnetic field, a type of magnetic field created when a magnetic field is strong enough to hold onto its charge, is shown in this illustration provided by the American Museum of Natural History in New York. The field is a product of the creation of the universe by a powerful force called a magnetic moment. This superconducting field is seen as a possible alternative to the standard superconducting field that has been developed in recent years. Photo: Courtesy American Museum of Natural History
 ","An illustration of an inter-dimensional portal is shown in this handout illustration provided on October 15, 2013 by NASA, which shows scientists exploring a wormhole at high velocity that could open up space, or space station, to interstellar space. (AP Photo/NASA, file)

The universe is big. And big it is, but not that big. It's big but the universe",Both,2,3,,B,2,3,,B,3,4,,,,,,,,,,,,,21_113_866
"An illustration of a solar flare, which occurred during a rare solar eclipse, on Sept. 21, 2018, from a NASA satellite image showing Earth from space. (AP Photo/NASA Earth Observatory)

A new satellite image shows the moon in a lunar orbit and shows lunar soil that can be used to build lunar habitats, according to a new satellite image analysis of satellite data released Tuesday by","An illustration of the asteroid, designated 2009 QE2, which could impact Earth in the future. The asteroid has a diameter of about 1,700 miles (1,600 kilometers), but NASA says the asteroid will be smaller and smaller in size, until it is as small as one-tenth the size of Earth, when the planet itself will be destroyed.
 An asteroid that is larger than Earth and smaller than our planet is about to be discovered in the asteroid belt between Mars and Jupiter, according to
 ",Both,4,3,,Both,4,3,,Both,4,3,,,,,,,,,,,,,23_206_709
"More importantly, it's the first time that a major US military aircraft carrier has been involved in combat since the end of the Korean War in 1953.
 The USS Harry S Truman has been the first US Navy aircraft carrier to take part in operations since its arrival at Naval Station Norfolk, VA, on May 5, 2015 after nearly a week of operations in the Persian Gulf.
 The USS Ronald Reagan has participated in operations in Somalia in 2012 as well (pictured above) as well as operations against Daesh and
 ","More importantly, this is not an accident, it is a deliberate and calculated attempt on the part of Israel. The plan is for Israel, and the U.S., to invade the DPRK by land, sea, and air, as well as by space.
The space program includes a large and powerful space launch system called Orion (Orion Spacecraft) and the space station crew module (",B,4,1,,B,4,1,,B,4,2,,,,,,,,,,,,,49_821_184
"Prior to this year, the United States had been on a path to become the world's largest producer of crude oil.
 In a recent study published in the Journal of Petroleum Economics, researchers from the University of Texas, Austin, analyzed the economic impact of a recent U.S. oil boom in the oil-producing state of Texas. In the study, which found that oil and gas production from the state is on the upswing, the authors found that the state has the lowest unemployment rate in the nation
 ","Prior to this year, we had no idea that the world could contain so many planets. Now we know that they're out there, orbiting the star, and we've mapped them out with the help of NASA's Kepler space telescope.

This is one of the world's most beautiful, planet-sized galaxies – a galaxy that is more than twice the diameter of our galaxy.

",Both,3,4,,B,3,4,,B,3,4,,,,,,,,,,,,,37_755_848
"The key aspect discussed by the author regarding the role of social media in the current political climate is the lack of a coherent narrative in the media. As noted before, there has been a huge amount of attention paid toward the issue of climate change and how the world's energy resources are managed in a globalised world, and there are many other issues of global importance. Yet, the space space in","The key aspect of our new approach is to focus on the key components of the process, such as the data and the process design. The data must be accessible, easily digestible and reproducible.
 In the following, we will describe a process design, a data-driven approach to data analysis. The process can be used to analyze the entire process or a subset of it.
 We will use the process design approach to describe the data that we have collected. We use the data to create a
 ",Neither,3,2,,Neither,3,2,,Neither,3,3,,,,,,,,,,,,,34_600_615
"The issue focused on the possibility of an asteroid hitting Earth and killing thousands of people.
 The asteroid that is expected to hit Earth on September 12 could have an effect on global warming because it comes from a planet that is moving very slowly, scientists have found.
 A new analysis of moon rock from space by space-science and earth sciences researchers from the University of Cambridge and the University of Arizona has shown that it is possible that the asteroid would not hit Earth, but would instead slow down.
 The
 ","The issue focused on an alleged violation of federal criminal law in which the government sought to track Internet users using encrypted services. The Justice Department is seeking more information about that program. (Peter Stevenson/The Washington Post)

When the NSA began collecting Americans' phone records in 2009, it was not yet widely understood that it was being done by the NSA, but in 2013, it became clear",A,5,5,,A,4,5,,Both,4,4,,,,,,,,,,,,,55_225_624
