"From files: pickles/technology_pickles/technology_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"It has been shown that the brain is capable of regulating the expression of certain brain chemicals by regulating the brain activity. This process can be triggered by different brain states, and it may play a role in the development of mood, attention, memory, cognition and decision-making processes. We investigated the effects of a low dose nicotine-enhanced exercise paradigm with a memory task on cognitive memory and memory","It has been shown that the amount of energy produced in the human body depends on several factors. One is the amount of energy available to it (energy surplus), another is the amount of energy consumed (energy deficit). It has been found that the amount of energy produced is dependent on several factors, namely, the body mass, the metabolic rate, the amount of fat in the body, and the amount of carbohydrate available in diet. It has also been shown that changes that alter the amount of energy consumed can alter energy balance
 ",Neither,3,2,,Neither,3,2,,Neither,3,2,,,,,,,,,,,,,53_682_887
"To conclude, the data on this question were collected from the US and Canada in 2000 and 2001 respectively, with data from the UK and the USA in 2002. The data were analyzed using R software version 3.1.0 (R Development Core Team).
 In a previous study, we showed that, when we compared a large data set with a small data set, the small data set would show a greater effect of the first version of the database. This time, we also analyzed data from two data sets
 ","To conclude, the results of this study indicate the following:

(1) In the case of patients with type 1 diabetes mellitus, the use of dietary glycemic control aids in conjunction with exercise in combination with a low-carbohydrate diet (LCD) can reduce the occurrence of type 1 diabetes in the long term compared to using a glucose tolerance test.

A glucose tolerance",A,4,5,,A,4,5,,A,3,4,,,,,,,,,,,,,32_649_828
"Views on the issue are mixed. The American Civil Liberties Union said it ""strongly disagrees"" with the decision and said that the ruling is a ""serious blow for privacy rights across the country.""

The ruling is particularly troubling to tech companies, which are already required by law to get permission from law enforcement agencies. It would also make it harder for tech companies to share user information with","Views on the topic, which began in 2008, have grown steadily since then.
 The online version of the website, which is now defunct, features a page dedicated to discussing the controversy.
 The page features a link to the page on the page, and a photo of a young man holding a sign. The man, dressed in a white shirt, shorts and sandals, says in part, ""I think you can see that I'm not a racist, but there's a bit of a
 ",Neither,5,4,,Neither,3,4,,B,4,4,,,,,,,,,,,,,8_352_271
"The connection between a man's life and his body is a very important part of what makes him a great human being, but it is also an intimate one. We all experience pain and pleasure in our lives, but the connection between body and mind is one of the most significant in the human experience.
 The link of body and mind that we make with our bodies is one of the key components of what we are, a process that we call ""body image."" We are constantly aware of our bodies and
 ","The connection between the United States and the rest of Africa, the Pacific region, Europe, Asia and Latin America is a vital link.

It's also a vital link for the United States to build on and enhance, through its relationships in the world, our military capabilities. It's not just an economic link, but an important link that enables the American people to secure their security from terrorism",Neither,4,5,,Neither,4,5,,Neither,4,4,,,,,,,,,,,,,10_237_700
"The relationship between the two parties is important. If they are to reach agreement on a solution to the problems that affect their respective communities, a good first step is for both the parties to meet and discuss their common interest in building a sustainable energy system. A sustainable energy system means a system where the amount of renewable power available to power electricity generation and grid storage is sufficient to meet demand for electricity,","The relationship between a man's sex drive and his ability to be a father has long fascinated evolutionary scientists. But what is it that makes men more fertile?
 In his latest study, published this week in the American Economic Review , researchers from Duke University, the University of California, Berkeley and the University of California, San Diego found that men with higher levels of testosterone are more likely to have children.
 ""The more testosterone you have in the body, the better the fertility,"" said Dr. Richard
 ",A,4,4,,A,4,4,,A,4,4,,,,,,,,,,,,,45_394_195
"In summary, the data presented in this paper shows that a high level of digital security can significantly increase security for online data in the long term. While it is difficult to quantify exactly how security measures can be increased to a user's satisfaction, this paper provides a broad and detailed analysis of security measures for data online. In a web application security perspective, security measures can be applied in a user's web application by using the following three security strategies: digital security, user privacy and data encryption. The security practices discussed
 ","In summary, we have found that in a group of patients with a history of schizophrenia, a combination of the following drugs is effective for a period of 2 weeks: clodopa, ketoconazole, and sertraline. The drug combination is also effective for the duration of the study, with a mean decrease score of 0.01 points.

The data presented here are",Neither,3,4,,A,3,4,,A,3,4,,,,,,,,,,,,,2_451_192
"To review, the document, entitled 'The Case for a Transatlantic Trade Agreement: a Case Study in the International Trade and Investment Community, and Beyond', was released at the beginning of June 2012 and the document was written by a group of experts, including former US Department of State Undersecretary of State for Public Diplomacy James A. Baker III. A copy of this document is available on the website of the European Council on Foreign Relations.
 The document, written and prepared under the direction of the Department
 ","To review, I'm not sure if this is actually going to be good but it's still worth a try. It's very easy to do, the app is clean and the interface is pretty simple. The app is only available in Korean but the app is translated to Chinese as well. If you can speak Korean, it's probably fine for you to download and install it. It also allows",B,4,4,,B,4,4,,B,2,4,,,,,,,,,,,,,17_719_876
"Furthermore, it was clear that there were other issues at play. As we've discussed before , Google is not alone in using the Tor browser in conjunction with its search engine services, and it's possible that some other sites have similarly compromised security.

In the past few days, several sites including Wikipedia and YouTube have been compromised by the malware-infected Tor network. Tor has been one","Furthermore, the report said the ""most recent data from the U.S. Census Bureau indicate the population of the U.S. has grown faster than in most other nations since 1990.""
 The report also said ""the percentage of people living in extreme poverty, which is when one person does not have enough money a month to buy food, clothing and shelter, has reached a record high.""
 ""The U.S. has become the world's leading poverty-ridden nation. This report highlights
 ",A,4,5,,A,4,5,,A,4,4,,,,,,,,,,,,,25_754_397
"An illustration of a new kind of superconducting disk. (Image: NASA/JPL/Univ. of California, Santa Cruz)
 A team at the California Institute of Technology (Caltech) has made an important breakthrough in superconductors, the most powerful form of electrical storage on the planet. The new discovery has key implications for superconductors in general and the development of future superconducting devices.
 In a paper published online this week in the Proceedings of the National Academy of
 ","An illustration of the first generation of solar cells, which are capable of storing more energy per square meter than traditional solar panels. A team led by the University of Michigan researchers developed an ultrafast, energy-saving method for creating silicon solar cells using an extremely efficient and low-cost process.

The process involves removing a portion of a cell's substrate to generate a silicon chip and a thin",Both,4,5,,Both,4,5,,Both,4,4,,,,,,,,,,,,,21_113_866
"An illustration of the future of artificial intelligence. Credit: MIT/J.C. Chia

A major milestone in the development of artificial intelligence has been achieved by researchers at MIT, the University of Cambridge, and the Institute for Computer Systems.

The researchers are building computer code that can understand, process and interpret text, and that can also be programmed to do many tasks, such","An illustration of the solar-powered rover Curiosity's mast-mounted Chemistry and Remote Sensing instrument (CHRSE) on the mast of the rover. This is the version on Curiosity's rover mast, which is on page 1 of the document, page 2, and page 3 of the document.
 The document, titled the ""Mars Science Laboratory Mission Specification"", was released by the Mars Science Laboratory program at the request of the media.
 The document details the mission objectives.
 The document
 ",A,5,3,,A,5,3,,Both,4,4,,,,,,,,,,,,,23_206_709
"More importantly, it's the first time that a computer program has made it past the computer security testing process.
 The program that created the malware has now been discovered and removed. It is a program called 'Nexus' that was created by software developers from security researchers at the firm Kaspersky Lab.
 In a blog post, Kaspersky Lab said it has removed the malware because it poses an ongoing security risk to network administrators and IT administrators.
 Kaspersky Lab researchers first
 ","More importantly, the new model will help make the industry's own sensors cheaper, easier to use and easier to develop.

For the past six months or so, we've been tracking a number of sensors on a Raspberry Pi. This is what a sensor looks like:

The Raspberry Pi is a microcontroller which has a hardware keyboard, mouse, keyboard and mouse drivers, and a",Both,4,4,,Both,4,4,,Both,4,4,,,,,,,,,,,,,49_821_184
"Prior to this year, the United States had been one of the only countries in the world where gay and lesbian couples could not adopt.
 In December, the Supreme Court ruled 5-4 that state bans on gay and lesbian marriage violate the Constitution and are not consistent with the U.S. Constitution.
 The U.S. Supreme Court will hear arguments on same-sex marriage again this month.
 (AP, 6/29/15)
 2015 Jun 27, In an unusual
 ","Prior to this, it had been reported that the device was capable of running Android 4.0 and up, and was able to boot from USB flash memory, but that it would be possible to boot the system from a CDROM drive via USB flash memory.

The new device, with its built-in micro-SDXC memory expansion, should allow for boot up from USB memory",B,4,4,,B,4,3,,B,4,4,,,,,,,,,,,,,37_755_848
"The key aspect discussed by the author here is the importance of the ""diversity"" of the people who are being educated about and in the media and online. In other words, the ability to be able to communicate in a way that is useful and interesting. I have been using this tool to create an online course. It can do a lot of things. The web interface and online portal is","The key aspect of digital data storage technology is data integrity. This means that data that is stored on the network will not be tampered with, corrupted, lost, or stolen. Data storage technologies can be designed to protect data from data loss and data corruption.
 The data storage technology that is most frequently used is a flash drive, disk drive, CD or CDRW media, or a CD or disk media that is mounted on a computer.
 For more information: http://www.us.gov
 ",B,4,4,,B,4,4,,Both,4,4,,,,,,,,,,,,,34_600_615
"The issue focused on the application of data mining software in order to monitor user behavior and data security. The application, called ""Fuzzy,"" is designed to monitor the computer screen for malware and malware-like behavior.
 ""In the Internet of Things (IoT) sector, data security is key to security, privacy, and interoperability,"" said John Cacioppo, director of security research at McAfee. ""It is critical that our industry develop and deploy data security technologies that are secure, privacy
 ","The issue focused on a series of emails between Clinton and the State Department that was released by WikiLeaks.

Clinton, as head of U.S. government, used her private email server to transmit classified information, including top-secret information.

The email exchange was among thousands of hacked from the account of John Podesta, chairman Hillary Clinton's campaign chairman at the time.

Pod",A,4,4,,A,4,4,,Both,4,4,,,,,,,,,,,,,55_225_624
