"From files: pickles/religion_pickles/religion_A,B.p, greedy_bow_results.json",,Which passage is more topic relevant?,How fluent is the passage of A?,How fluent is the passage of B?,Raymis,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Shannon,Which passage is positive?,How fluent is the passage of A?,How fluent is the passage of B?,Hayley,,,,,,,,,,,,
"This essay discusses the use of ""bias"" and ""inferiority complex"" by conservatives. It argues that the word ""bias"" itself is ""not just bad language for politics, but it is also a dangerous one"". In fact, it is the ""bias"" that makes ""bias"" so bad.
 In the past I've written about ""bias"" as a political tool, and the fact that it has been used in this manner. Here is the original paper that
 ","This essay discusses the history of the concept of the ""American Negro,"" which is now so deeply rooted in American culture that it is used almost as a national religion. While many scholars regard this new concept as ""Christian,"" it actually arose in Protestantism, which is a distinct branch of Christianity, but not the Protestant Christianity. It is a Christian religion based on Christianity. This Christian religion, which",B,3,3,,B,3,3,,B,2,3,,,,,,,,,,,,,3_65_860
"The key aspect discussed in this paper is to define the term ""social capital"" (i.e., the social and cultural capital which supports the growth of the state and which is required to create a democratic and just society). The authors argue against using this term in the sense of a 'gift', and instead argue that a society is not just 'a gift', but God Himself (God","The key aspect of the new law is that a criminal conviction will now only carry a maximum sentence of 15 years.
 The Justice Minister has now confirmed that the maximum sentence will be reduced to 10 years.
 But the law will only apply in England and Wales and Wales.
 The Minister for Justice, Michael Fallon, has said the law will not apply in Northern Ireland.
 However the Northern Irish Justice Minister, Shaun Woodward, confirmed this afternoon he will be challenging the Supreme Court judges ruling on
 ",Neither,3,3,,Neither,4,3,,A,3,3,,,,,,,,,,,,,35_176_283
It has been shown that in order to prevent an individual or group from using their voice to oppress another religion they can't use their voice to criticize God in Scripture. The Bible itself teaches that you should not speak God's Name except in Scripture. It also states that if you want to speak God's Name God must tell you in Scripture that God has commanded you in His Word. You cannot tell God in your own language,"It has been shown that the amount of energy produced in the body during exercise has been related to the degree of exercise performance. In the present study, we investigated whether the increase in energy production during exercise in the upper body was associated with the increase in energy expenditure during exercise in the upper body. Eight male subjects (age: 24 +/- 0.5 years, mass: 74 +/- 3 kg, height: 178 +/- 5 cm, weight: 79 +/- 3 kg, VO 2 max: 72 +/- 8 ml · kg−
 ",A,3,3,,A,4,3,,A,3,4,,,,,,,,,,,,,53_682_887
"To conclude, the most important aspect to note from this study is the fact that this study provides evidence of the existence of a relationship between a common genetic polymorphism and obesity. However, this relationship was not found to be a causal one because of the lack of a control. In other words, this study is not able to show that the relationship between the SNP and obesity is causal.
 We found that the association was not a causal one. However, it was still significant, indicating that the genetic polymorphism
 ","To conclude, we should note that there are some very interesting ideas in this paper, particularly in regards to the idea of 'humanist values'. This paper was written at the behest of a friend of mine and was published by the Humanist Review in January of 2013. The title of the paper was inspired by the title of the book Humanism Is God's Love: A Letter From God to",Neither,4,5,,Neither,4,5,,Neither,4,4,,,,,,,,,,,,,32_649_828
"Views on the subject of abortion are divided in America: a large majority support legal abortion; only a minority oppose it. But there's a big, long-running divide, one that's been building for a very long time. For decades, the religious Right's opposition to abortion has focused on the biblical passages of Proverbs and Ezekiel that say women should not eat meat. And while many","Views on the Bible, Religion and Politics in America: An Examination of Religious Belief, Beliefs, and Politics in the United States, 1881-2008, by Robert Wiesner & Robert S. Raskind, published by Cambridge University Press.
 A. Religious Beliefs in the United States: A Comparative Study by Robert Wiesner, Religious Beliefs in the United States: A Comparative Study by Robert S. Raskind, Religious Beliefs and Politics: An Overview of
 ",Neither,4,4,,Neither,4,4,,B,4,4,,,,,,,,,,,,,8_352_271
"The connection between a man's life and his death is a very strong one. We don't have to ask what the cause of a death is or what it means to him or her. We can look at it, ask it ourselves, and find out.
 The death of the father is a death of the man. In the Bible, God said that God will take the body of God and put it in a man's hands. God will then take the body, bury it, and give it
 ","The connection between the internet and religion has always been one of the most important things.

The internet has been a source of hope and inspiration. It has given hope for many people, and even for the world at large, that the world would be a better place without religion. This was a promise made to God through a series of miracles.

There is also a belief that God wants to give",Both,5,5,,Both,5,5,,Both,4,4,,,,,,,,,,,,,10_237_700
"The relationship of a woman to her husband in ancient Israel and the relationship of husband and wife in the Christian Church.

In a world that is dominated by men who are supposed to be the head of the church, it's a bit hard to believe that God had a woman in the first century. But Jesus Christ was God's first-born Son, the only Son of God. And","The relationship between a man's sex drive and his ability to be a father has long fascinated evolutionary scientists. But what is it that makes men more fertile?
 In his latest study, published in the journal Nature, Harvard University biologist David Reichberg and his colleagues at the University of Chicago looked at a range of factors, including the amount of physical activity a man does, his level of testosterone and his age.
 ""We found that men with high levels of testosterone, particularly high levels of dihyd
 ",A,4,4,,A,4,4,,A,4,4,,,,,,,,,,,,,45_394_195
"In summary, the new version of OpenSSL v1.0.1g does not contain a bug which could be exploited to allow arbitrary code execution. In addition, there have been no security issues with the OpenSSL implementation.<|endoftext|>The latest update to the Powerline Power Control is now available on the Powerline Power Control website. It provides a complete power management solution for small, medium and large systems.
 The update includes all the Powerline Power Control products with a variety of features and capabilities that
 ","In summary:

• In the wake of the death of a police officer in the city of Chicago on Saturday, a group of protesters marched through the streets and took the streets.

• Protesters were met with tear gas and rubber bullets, and the city's mayor ordered a halt to the action, saying it had the ""chosen name"" ""Konrad Adenauer."" This",Neither,3,5,,Neither,3,5,,Neither,4,4,,,,,,,,,,,,,2_451_192
"To review, the Bible, like Christianity, has no God. Jesus Christ is God, but God is not God. God is one of the Creator and Creator-bearer of mankind. Christianity is a religion. God's name is God's name. God is the God-Man and God is man. God is a Creator, and Creator-bearer of all mankind. God is the Father of God, God the Son. God is God, but God is not God. Jesus Christ is God, but
 ","To review, the two men were arrested on Friday and released Saturday morning at the request of police.

The investigation into the death began in the early morning hours after officers responded to reports of a man suffering from apparent heartburn at a McDonald's in St. Paul. The man was found dead on the sidewalk outside, according to the St. Anthony News Tribune. The medical examiner, Dr",A,3,5,,A,3,5,,A,2,4,,,,,,,,,,,,,17_719_876
"Furthermore, as the report explains, the study shows that a high-quality public education is essential to a healthy lifestyle.

""Our findings suggest that there may be a connection between a child's exposure to media, particularly media with negative connotations, and its future negative attitudes, beliefs, and values. These findings may be of great importance to the LDS Church, but may be of concern","Furthermore, the ""bulk"" (or ""huge"" as you might say in Latin) of people who are going to the polls on Thursday in Florida will not include everyone who voted in the 2016 election.
 The vast majority of voters are not going to be able to cast ballots that are valid in every one of the five states and Washington, D.C., on election day.
 The state of Washington is one of three that will not allow voters to register at the polls on Nov
 ",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,25_754_397
"An illustration of a ""dinosaur"" fossil found on the floor of a cave in northern Spain has been discovered by researchers, who say the fossil's jaw is more closely related to modern birds than previously thought.
 ""This is quite an exciting discovery as the jaw of the fossil, which has been in the ground for a long time, has been discovered in an area that was not known for fossil bird fossils,"" said lead author Dr. Angelica Pérez-Santamaría, from the Univers
 ","An illustration of a ""virtual"" computer running a simulation of a real-life scenario on the Internet. A computer called the BrainSat, which was created by the National Institutes of Health, is one of the most advanced virtual reality projects. (AP Photo/Nati Harnik)

When the brainchild of an Indiana pastor, a man named Dr. John Paul II, came",Neither,3,5,,Neither,3,5,,Neither,4,4,,,,,,,,,,,,,21_113_866
"An illustration of a computer simulation. (Credit: NASA)

The next time you think about flying, take a moment to imagine yourself flying through space, with a computer simulation of what it would be like.

That would be pretty fun, wouldn't it?<|endoftext|>It's been a long and strange journey since the last time I was alive. But it doesn't matter if you","An illustration of the Milky Way galaxy seen from space. (NASA/Johns Hopkins University Applied Physics Laboratory)
 The Milky Way is a galaxy that has a lot in common with the cosmos: a vast and active galaxy, thousands of galaxies, many billions of stars, a vast amount of dark matter and a large, dense, and turbulent core. In fact, astronomers think the Milky Way has an extremely large black hole in its center.
 But this is just the tip of the galaxy's iceberg.
 ",Neither,4,4,,Neither,4,4,,Neither,4,4,,,,,,,,,,,,,23_206_709
"More importantly, it's the first time that a single-engine helicopter has successfully completed a flight without any problems.
 The plane made its maiden flight during the annual Airshow in Birmingham, and the company said it had ""tremendous expectations and expectations are high"".
 Image copyright PA Image caption The aircraft flew over a series of sites in the Midlands and South East
 In total the plane travelled about 5,700 miles (10,900km) and took off from Birmingham Airport - with
 ","More importantly, it would be the beginning of the end for the United States. We are at a point of history in our nation's history where it is no longer possible to be a true Christian, a true God-believer without believing one God.

I have no more of God. I am a man of God. I believe in Christ Jesus and His gospel. He is my",B,4,2,,B,4,2,,B,4,4,,,,,,,,,,,,,49_821_184
"Prior to this year, the Church of Jesus Christ of Latter-day Saints had no Church headquarters or a permanent Church Church office. The only Church Church headquarters in North America was located at Church Temple in Salt Lake City.
 The Bishop's Office was moved to Church Street in 2015, with Church Church President Thomas S. Monson moving in later in 2016. Church Church Church Church Street Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church Church
 ","Prior to this, we were told that this is a ""very difficult"" game to develop. I'm glad to say that I'm completely in agreement, and will be looking to improve the gameplay mechanics in the future.

I'm very excited to see all the fans who have donated, and to the many who are supporting our project. I hope this is a sign of things to come",A,1,5,,A,1,5,,A,1,4,,,,,,,,,,,,,37_755_848
"The key aspect discussed in the paper is that there is little evidence of a direct link between obesity and depression. The paper's central premise is a very simple one – that people suffering from depression are in need of a lot of God. This, of course, does not mean that they are without God, only that God cannot be found in God.

In a way, this is an","The key aspect of our new approach is to focus on the key components of the data, which are the data itself, the data sources, the underlying systems and the tools for collecting data. Our approach, then, is that of ""data mining"" or ""slicing"" data to understand and improve it.
 To be able to do this, we have developed a set of data processing tools that we call ""data mining"". They are the core tool of our data mining strategy.
 We have
 ",Neither,3,5,,Neither,3,5,,A,3,4,,,,,,,,,,,,,34_600_615
"The issue focused on the possibility of an Israeli air strike on the Iranian nuclear facilities in the near future.
 In a statement on Sunday, the Iranian foreign ministry, which has long criticized US sanctions for the regime's alleged involvement in the September 11, 2001 attacks, said:
 ""The US is trying to create a scenario to attack Iranian nuclear facilities in order to divert attention from the real problems in the world and to achieve its goal of isolating Iran from the international community.""<|endoftext|>The UESPWiki
 ","The issue focused on a single section of the legislation. It's unclear whether the committee will vote to bring the issue to a vote again next year.

""It's a really, really big issue, and that's what makes this issue interesting,"" said Mr. H.R. (D.C.) .

The people of the District of Columbia do not approve nor approve of",Neither,4,3,,Neither,4,3,,Neither,4,4,,,,,,,,,,,,,55_225_624
