"From files: clickbait_pickles/clickbait_1_R.p, clickbait_pickles/clickbait_1_A.p, clickbait_pickles/clickbait_1_R,B.p, clickbait_pickles/clickbait_1_A,B.p",,,,,,,,,,,,,,,
A,B,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Gabe,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Prabha,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,,,
"The movie is so weird and awesome, and there is only one reason why the movie is so good and it's because of the way the movie is told. If you haven't seen, it is a movie where you are an alien that has been captured by","The movie's plot is simple — two men, who have been separated by the years, are reunited in a small town, only to find that their relationship has grown strained after a violent crime. In the process of trying to keep them apart, the two men",neither,4,4,,neither,3,5,,neither,4,5,,,29_565_402
"Once upon a time, there was a man who lived a very simple life. He lived alone. He didn't do anything, except for watching tv. He was a good person, he just did what he was told and that's about it. He loved his wife","Once upon a time, this place was a place you had to go for the food. Now it's an absolute delight and a treat. If there's one thing I've learned it's that the best thing to do when it's raining, I'm gonna need some",B,4,3,*,neither,3,1,,B,4,4,,,10_350_403
"The president of the country's biggest bank has said that the UK is the ""worst country in the world"" with ""the most dangerous"" banking sector.""The UK, the United States, Canada, Australia, New Zealand, Ireland, Germany, France and Singapore are the worst","The president of the country's biggest meat processor has been charged over a fake meat scandal that has rocked the country. The company, Vegev, was forced to stop making fake meat following a huge public backlash.
It was an old-fashioned, simple-looking dish",both,3,3,,both,5,4,,both,4,3,,,26_614_505
"The pizza dough can be made by using the following ingredients in order and with some simple modifications.
It's time to learn the secrets of how to use a food processor or machine to make pizza dough. Here we will show you a few tips you can use","The pizza ovens are one of the most exciting and useful features in your life. It's a feature that you might not know is there. It's the ability to quickly and easily make and store your favourite pizzas, or any other food. The ability",B,4,3,*,both,4,2,,both,4,3,,,20_263_65
"The potato is the world's most popular and versatile food item. It's a staple of all the cuisines around the world, and it's the most versatile food item to have, because of all its nutritional benefits, health benefits, and taste. It","The potato is one of those delicious foods that is so popular that we often eat it as a snack, and even when the dish is served in its original form at home as a salad, it's still a staple of meals in many cultures.

This",A,4,4,*,both,4,3,,A,3,3,,,38_393_624
"The chicken salad that everyone loves: What's in the food?

If you want to make a meal that is truly special and unique to you, you can't make it by eating everything. It's not a matter of how many vegetables you can eat","The chicken is the most important thing in a dish. It can't just be left out and forgotten. A good chicken is something you're going to eat all day every day. If it's not done right, it's not going to be cooked well.",A,4,3,*,A,2,2,,A,3,2,,,3_75_838
"The potato

I'm always amazed at the way people use new technologies. I've had many a time when I was in my early 20s. It seemed like everything I wanted to do was a good idea. Then I realised something, and I realized","The potato is one of those delicious foods that is so popular that we often eat it as a snack, and even when the dish is served in its original form at home as a salad, it's still a staple of meals in many cultures.

This",neither,2,4,*,B,2,3,,B,2,3,,,38_71_388
"The book is a collection of stories, and one of them is about the ""secret"" to a successful life. It's about a man who's not what people think he is, a man with a secret life and a secret job. It's about an",The book is a fascinating look at what it would look like to be an astronaut. It is a very personal story and the author has chosen to focus on one aspect of it. The astronauts of the space program have become famous and are seen as a group of,neither,4,4,*,neither,5,4,,neither,4,3,,,44_125_4
"The city says the incident has been investigated and it is not being treated as suspicious.

The city of Bournemouth, England, is in the middle of one of the greatest food wars in the world today. The city of Bournemouth, England, is one of the most popular places in the world to eat food. The city of B","The city says the incident has been investigated and it is not being treated as suspicious.

It is believed the man was on his way home from a night out in an east end park when a group of men in a white vehicle pulled up alongside him and",A,3,4,*,both,3,5,,A,3,3,,,39_105_58
"The road to the top of the food chain has been long and arduous, but the first-generation foodies will be glad to know that they can now indulge in food that's a little more exciting than your typical, average, food: the kind that","The road to the top of the food chain has been long and arduous, but the first-generation foodies will be glad to know that they can now indulge in food that's a little more exciting than your typical, average, food: the kind that",both,5,5,*,both,4,4,,both,4,4,,,2_587_61
"The painting above is one of the best known and most well-known of all the early medieval paintings, but it is also a rather difficult painting to find.

This particular painting was painted in the year 1210 in the area of the village of L","The painting was painted over a year ago, but the original is still intact in a safe in the museum. It had been stolen from the museum by someone who believed it was a masterpiece.

It depicts four women, each holding hands with two fingers extended",neither,4,4,*,neither,3,4,,neither,3,4,,,12_746_776
"The pizza is a great option, but you're going to be spending more time eating than cooking, so make sure to keep an eye out for fresh produce to save time and resources. It's also a good idea to bring a reusable plate for when you have","The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and",neither,4,3,*,both,3,3,,neither,4,3,,,18_590_744
"The year is 1910. A young woman is walking along the road in a park in a quiet village.

""I can hear a voice in the back of my head asking why I shouldn't go and see a man.""

""I am afraid he might be","The year is 1910. A young man, who will become a major-league baseball player, has a very unusual, and at times, terrifying, experience. A dream, or perhaps a delusion? A dream in the form of a baseball, a dream that takes place in",neither,5,3,*,B,2,4,,B,3,2,,,22_816_523
"The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and","The president of the country's largest labor union said Monday he has no plans to challenge Hillary Clinton in the November election, saying that the race is too close to call.

""I've decided to run for president because this election is too close to call,"" said AFL",neither,4,2,,B,5,2,,neither,3,3,,,24_157_506
"The president of the country's largest university, University of Illinois, President Michael Drake, is facing criticism for a controversial video that he posted to Facebook.

The video, posted Thursday, depicts Drake and a friend, a woman, discussing a ""toxic masculinity culture""","The president of the country's largest medical technology company said Wednesday the company is considering an offer of up to $10,000,000 to buy the company, as the country's largest private insurer scrambles to keep the country's second largest health-care provider from closing.",neither,4,4,,both,3,5,,both,3,4,,,25_214_461
The potato is a common food and has a wide range of uses. There are different methods that can be used to cook the potato and some prefer not to cook it. You can prepare the potatoes in the usual way or in a different way. There are three,"The potato, a small vegetable, is the most widely grown food. It is the staple of many diets and a staple that is used to make many different food items. It is not the only food that we can eat, but its popularity and availability has created",neither,3,4,*,A,3,4,,neither,3,3,,,36_704_317
"The last time I wrote about this topic was a couple of weeks ago, when a reader asked about how to make an apple pie using a pie crust recipe.

This time around, a reader asks about pie crusts, too, so I thought I'd","The last time I checked, the United States had an estimated $1.25 trillion in untaxed income.

If the tax rates are as low as I've seen them suggested, that number would rise further. In 2013, the Internal Revenue Service projected",both,4,4,*,both,3,4,,both,4,5,,,30_642_372
"The lake in the area of the lake that was the origin of the legend of the Great Flood. Image credit: Wikimedia.

In the 19th century, the legend of Noah's Flood was widely circulated among the American public, but there were a number","The lake in question is the largest in Europe, and the area that the lake was found. This is the only lake in Europe that is a natural body of water with an unusually wide and deep lake, the largest in Europe, the European Environment Agency said.",neither,3,2,*,A,2,2,,neither,3,2,,,34_76_441
"The pizza shop is open for business!

A friend of mine who is from the area, had a few pizza orders on the way from California. He decided to drive to the place to get his pizza and when I called to let him know that it","The pizza chain has been hit with a class action lawsuit alleging its pizzas contain ""unsafe"" ingredients.

An online petition calling for a $1.5million class action against Papa John's Pizza Co. was launched in September after customers were reported",B,3,4,*,B,3,4,,B,4,4,,,20_634_748
"The potato is back. And it is a success, at least according to one company that's hoping to sell the prized food.

The company, whose product is called The Good Food and that it claims is 100 percent whole-wheat, has created","The potato is also known as the ""pumpkin,"" and it is actually the fruit of potatoes and squash. There are two kinds of potatoes: the yellow variety and the green variety. There are many varieties of potato that you can use to make pudd",A,4,4,*,A,2,2,,A,4,3,,,37_707_796
"The movie's plot is pretty simple: a girl who was bullied by her teacher for being fat is told that her best friend is actually fat and she needs to lose weight to get accepted.

This story is about a girl who's told her friends that","The movie is a good movie. I've been saying it for a while, and now I think it's time we say it:

The movie is the best thing that's ever been made.

If you've watched it, you know that",B,3,4,*,B,3,3,,B,3,4,,,27_139_253
"The last time I wrote about this topic was a couple of weeks ago, when a reader asked about how to make an apple pie using a pie crust recipe.

This time around, a reader asks about pie crusts, too, so I thought I'd","The last time I posted about a girl from my area that I had been attracted to, I was in an effort to get her to tell her girlfriend that she had been interested in me since the day she met her boyfriend. She didn't want her girlfriend to hear",A,4,3,*,A,3,2,,A,4,2,,,30_130_751
"The book is written in such a simple and clear way that you could easily read it in a split second.


A few days later, I found myself sitting with my friend's mom and father, and her father sitting next to him, and I could",The book is a fascinating look at what it would look like to be an astronaut. It is a very personal story and the author has chosen to focus on one aspect of it. The astronauts of the space program have become famous and are seen as a group of,neither,2,4,*,neither,1,4,,neither,2,3,,,44_694_84
"The country's top court has ruled that the government cannot compel internet service providers to hand over customer metadata under a controversial data retention law because it is unconstitutional.

The court, in a landmark judgment, also ruled against a request by the government to stop internet","The country's top 10 best free music websites

There are no words to describe the delight when you first discover the world-famous music and arts site, Napster. The most important element that the most interesting element the most interesting aspect to me in terms",B,4,2,*,both,5,2,,B,4,3,,,8_540_55
"The year is 1910. A man named John Henry Ford has invented a car and, after years of research, has created a machine that is capable of going from 0 to 60 in less time than it takes to read this sentence, the equivalent of reading a word. The result","The year is 1910. A man named John H. Brown Jr. is working to raise funds to build the world's first railroad to the Atlantic Ocean, and he wants to make sure everyone gets to know their fellow travelers.

Brown's dream of building a railroad has",neither,4,4,*,B,2,4,,neither,4,3,,,23_187_520
"The book is about one man's journey to becoming the best fighter in the world: the legendary Muhammad Ali. He goes from an ordinary, middle aged man, to an extraordinary athlete, a champion fighter, who is also, by his own words, an atheist","The book is a great read, with all of the information you need, for the very basic things you need to know in order to get started on an amazing project.

In this book you will learn the basics of a basic web development environment: web",A,4,3,,B,4,3,,A,4,3,,,42_574_607
"The road to becoming the next President is a difficult one. You can see the signs of it when you're driving around in the country, or listening to the radio. And yet, the signs aren't necessarily all that great for the candidates. The candidate who","The road to a new career

You're the first-ever first-time college graduate, I've got a big question. What are some of the main things you'd like to know about your new career, your new employer, and what you can",neither,3,3,*,B,2,3,,B,2,3,,,0_614_335
"The book is a bit of a mixed bag. I really liked the first book, The Last Man on Earth: The True Story of the Last Man on Earth, and the follow-up, The Last Man on Earth 2, both have their flaws. However","The book is a great read, with all of the information you need, for the very basic things you need to know in order to get started on an amazing project.

In this book you will learn the basics of a basic web development environment: web",neither,4,3,*,B,1,3,,neither,2,3,,,42_312_511
"The president of the country's largest anti-aging food business is making an interesting discovery. He found it in one of his own experiments.

The results are a pretty surprising one. The study was meant to test an idea first presented to him in the early 1990s","The president of the country's largest medical technology company said Wednesday the company is considering an offer of up to $10,000,000 to buy the company, as the country's largest private insurer scrambles to keep the country's second largest health-care provider from closing.",A,4,4,*,both,3,5,,A,3,4,,,25_851_717
"The road to recovery has been bumpy for a few years now.

There's a huge need in the medical and pharmaceutical industry, and the government is taking steps to ease its burden. The U.S. Drug Administration, for instance, wants to","The road to the top

When you're a teenager, or even a young adult who's trying to figure out the world and its people, it can feel like you're stuck in some kind of limbo between a life of relative ease and constant, unrel",B,4,4,*,B,4,4,,B,3,3,,,1_196_222
"Once upon a time it was said that the most important thing a man can do for women is to be faithful to them, and the truth is this: if a man can't be faithful to his wife, how can he have any love for her in the first place","Once upon a time, there was this guy who was a great writer. He wrote a great book, which is the best book, and it was a hit. And then he decided to write a sequel. The book didn't sell as well but the sequel was more",A,3,4,*,A,3,3,,A,3,3,,,11_734_139
"The lake that the sun never set.

I'm sure you are all curious to know about this lake in the woods of New England. It's an old lake, but one that I think we can all learn something from. It was created by the","The lake of the same name is the world's largest and was the largest of the lakes. It was named in honour of the German geologist Carl Friedrich Carlisle, who believed the earth was a lake.

The lake once covered a huge area,",neither,4,3,*,A,3,2,,A,4,2,,,33_767_645
"The potato

I'm always amazed at the way people use new technologies. I've had many a time when I was in my early 20s. It seemed like everything I wanted to do was a good idea. Then I realised something, and I realized",The potato salad is a dish I've been enjoying a lot for several months now. It's also one of the few things where you really can't go wrong. It's one of those recipes that will make you feel like you're eating something from the future,neither,2,4,*,B,2,5,,neither,2,4,,,38_287_566
"The president of the country's leading university, who has been critical of his own government's handling of sexual-assault cases, said Friday that the University of Virginia should have investigated its sexual-assault claims earlier.

""The university should have done more to make sure that","The president of the country's biggest supermarket chain has admitted that he was 'dodging bullets' when a man he had met with in a supermarket claimed that he had shot dead two people.

The man, who was visiting his family in the UK, was told",both,5,4,,both,5,5,,both,5,4,,,26_848_611
The road to becoming the most successful company in the world is not as hard as you think! You are the one who is responsible for the company's success! This article will outline how to make your way to success. We are not going to cover business school,"The road to the top

When you're a teenager, or even a young adult who's trying to figure out the world and its people, it can feel like you're stuck in some kind of limbo between a life of relative ease and constant, unrel",neither,3,4,*,both,4,4,,neither,4,3,,,1_189_758
"The last time I checked, there were no laws against homosexuality being practiced within any country.

But there are laws, and the laws are not going away anytime soon: in the USA, for example, laws against ""homosexual behavior"" still exist, and","The last time I checked, there were no laws against smoking weed on airplanes. In fact, there were plenty of reasons to do it: to enjoy the scenery and relax after a long flight. But in the age of the flying cigar, it seems that the only",both,3,4,*,both,2,2,,both,2,3,,,31_442_735
"The painting, the ""The best way to get to the top of Mount Sumerum, is with the Kuru-e-I-te. The Kuru-e-I-te is the only place in the mountain where the Kuru-","The painting was painted over a year ago, but the original is still intact in a safe in the museum. It had been stolen from the museum by someone who believed it was a masterpiece.

It depicts four women, each holding hands with two fingers extended",neither,2,4,*,B,1,4,,B,1,4,,,12_349_340
"The book is written in such a simple and clear way that you could easily read it in a split second.


A few days later, I found myself sitting with my friend's mom and father, and her father sitting next to him, and I could","The book is a collection of stories, and one of them is about the ""secret"" to a successful life. It's about a man who's not what people think he is, a man with a secret life and a secret job. It's about an",neither,2,4,*,B,1,5,,neither,2,4,,,44_354_81
"The painting by William Shakespeare has been the subject of controversy for the last two hundred years. In this article I will try to show you how to identify a number of these common types of errors, and explain how you can spot them before others do.

","The painting is called ""The Last of the Old,"" and it shows a woman who seems to live on earth. Her face is hidden by a veil, her hair is tied back in a ponytail, and her dress seems to be a kind of skirt.",neither,2,4,*,A,1,5,,A,2,3,,,13_59_826
"The president of the country's most popular travel website, The O.K.?
""I don't have to."" This article is about the creature. For other creatures, see The Wiggler
""What are you doing on our planet?"" This article has a quick","The president of the country's most powerful university, the University of California at Berkeley, is a vocal critic of Trump's immigration policies.

President Trump has ordered the removal of two U.S. military bases and the closing of seven federal facilities that serve illegal immigrants.",A,2,4,*,B,1,4,,A,2,5,,,24_247_156
"The year is 1910. A man named John Henry Ford has invented a car and, after years of research, has created a machine that is capable of going from 0 to 60 in less time than it takes to read this sentence, the equivalent of reading a word. The result","The year is 1910. On a summer weekend, a group of men in a rented carriage ride through the city's streets. A young man falls asleep behind the wheel, and the driver, a young woman, is knocked into the road. The woman's husband, the driver",neither,4,2,*,A,2,2,,neither,4,3,,,23_367_458
"The country's leading consumer watchdog said today it is investigating the ""horrific"" treatment of a Chinese woman who died after drinking water contaminated with an unknown bacterium.

The woman, who was found at a remote location in the country's southwest,","The country's highest court ruled Monday that police should use lethal force against suspects who fail to comply with officers' demands, but the ruling has been criticized by civil libertarians because it will apply only to those who pose a clear threat to police or others.

",both,4,5,,both,4,5,,both,4,5,,,7_434_252
"The painting was painted over a year ago, but the original is still intact in a safe in the museum. It had been stolen from the museum by someone who believed it was a masterpiece.

It depicts four women, each holding hands with two fingers extended","The painting was made from a real painting, as the title would suggest but it is not a real thing. This was made as a joke to help people understand why it was made (and not made by anyone else in the world to begin with), so it",neither,4,2,*,neither,4,1,,neither,4,1,,,12_544_899
"The road to a new career

You're the first-ever first-time college graduate, I've got a big question. What are some of the main things you'd like to know about your new career, your new employer, and what you can","The road to a new generation

In the early days, the company was known mostly as a maker of mobile products. But the early days didn't last long. After Apple launched in 2001, the company went to war with Motorola. It won.
",both,3,4,*,A,3,2,,both,3,4,,,0_231_856
"The country has a reputation for being one of the most dangerous places in the world, and with good reason. In a study of nearly 1,100 countries, the World Health Organization said that nearly a third of all people who die in the country die from violent","The country of Japan, which is the world's most-lucrative, in fact, is, for the moment, the only, to the best of our knowledge, the only, and, of all the ways, the most-fortunate to be",both,3,2,*,B,4,2,,both,4,1,,,6_542_373
"The country's top 100 best free online music streaming service sites and apps are in for a big change next year. On April 30, the site that's been dubbed ""Spotify, a free service in search of a free service"" will start offering in-","The country is a mess, and it could easily be worse.

But that's just what the government wants you to believe.

The Government's National Infrastructure Investment Plan (NIIP), which the government hopes will boost the economy, was announced",B,3,3,*,A,5,3,,A,3,3,,,8_5_678
"The city says the incident has been investigated and it is not being treated as suspicious.

It is believed the man was on his way home from a night out in an east end park when a group of men in a white vehicle pulled up alongside him and","The city of Walthu (Netherlands)

I was on holiday in Walthu and had a few things to photograph and to try and keep the budget down so I decided to just go on my own, I didn't take any pictures",neither,4,2,*,both,5,2,,neither,3,3,,,39_282_607
"The chicken is alive! This chicken has been in the freezer for months now, and it is alive! I am still a little shocked that I did not find another recipe like this one, but that is the beauty of recipes: You always have the best option","The chicken is alive! This chicken has been in the freezer for months now, and it is alive! I am still a little shocked that I did not find another recipe like this one, but that is the beauty of recipes: You always have the best option",both,3,3,*,both,1,2,,both,3,3,,,5_562_728
"Once upon a time it was said that the most important thing a man can do for women is to be faithful to them, and the truth is this: if a man can't be faithful to his wife, how can he have any love for her in the first place","Once upon a time, the world was in a good mood, but now it's a dark and dangerous time for all of humanity. The only way we can stop it now is if you can get to the source of this darkness, and that's you, the person",A,3,4,*,B,3,3,,A,3,3,,,11_266_41
"The movie ""The Avengers."" (Photo: Marvel)

There is no doubt that the Avengers film franchise is going to be big. The movie, starring Chris Evans and Anthony Mackie, is expected to be released May 1, 2016.

But","The movie's premise is simple: a man is in love with his own daughter. But he finds out she's gay. He then has to choose a partner and find out how that person views his daughter.

So, he's going to have to",neither,4,4,*,neither,4,3,,neither,4,3,,,28_748_807
"The potato is also known as the ""pumpkin,"" and it is actually the fruit of potatoes and squash. There are two kinds of potatoes: the yellow variety and the green variety. There are many varieties of potato that you can use to make pudd","The potato, like its relatives the bean and the egg, was once a relatively simple way to increase a food's nutritional value.

The most common use for potatoes was cooking them in a mixture of water and oil and, in the early 21st century",neither,4,4,*,neither,2,2,,neither,3,2,,,37_252_113
"The last time that the GOP had to resort to the same tactics to get votes they didn't have to, it got them the Senate.<|endoftext|>The following are excerpts from ""The Secret of Our Success: The Science Behind Getting People to Do More for the World""","The last time I was here, I got an email from an old man about how he'd had a few drinks and had a few thoughts about the place. He didn't really have any answers, but I could tell there was a lot of love in his eyes",A,3,4,*,A,2,3,,A,3,3,,,32_535_798
"The painting is of a woman with an expression on her face which shows her having a sexual encounter while standing. She is holding a knife in one hand, a cigarette in the other, and holding her own head in front of her with her right hand. Her","The painting is one of those things you don't notice until you've seen it. The first woman on the street and the man with the gun has a very strange and unusual way of looking at things, and it seems to have been there for quite a while",neither,4,2,*,neither,4,2,,neither,2,2,,,14_394_427
"The year is 1910. A new, revolutionary technology is being developed in the United States that is going to change the world in a profound way. The world's population is going to grow by 10% by the year 2000. A lot of people believe that the world is going","The year is 1910. A new, revolutionary technology has made the world a much more exciting and dangerous place. It's called the atom bomb. The world's leading scientific body, the British Royal Society, is now calling it a ""monstrous hoax.""

The technology",B,4,4,*,both,2,3,,B,3,3,,,21_2_357
"The president of the country's biggest bank has said that the UK is the ""worst country in the world"" with ""the most dangerous"" banking sector.""The UK, the United States, Canada, Australia, New Zealand, Ireland, Germany, France and Singapore are the worst","The president of the country's leading university, who has been critical of his own government's handling of sexual-assault cases, said Friday that the University of Virginia should have investigated its sexual-assault claims earlier.

""The university should have done more to make sure that",both,3,5,*,both,5,5,,both,4,5,,,26_242_444
"The movie ""The Wolf of Wall Street"" was released in 2013. While there is a lot of money at stake, it is also clear that the movie was an investment to make millions. The movie was financed through the sale of ""The Stock Market."" However","The movie is a good movie. I've been saying it for a while, and now I think it's time we say it:

The movie is the best thing that's ever been made.

If you've watched it, you know that",B,4,4,*,both,4,3,,B,3,4,,,27_198_133
"The year is 1910. A man named John Henry Ford has invented a car and, after years of research, has created a machine that is capable of going from 0 to 60 in less time than it takes to read this sentence, the equivalent of reading a word. The result","The year is 1910. The world is in the throes of a war that will affect the lives of men, animals, plants and the universe, and that is the world we live in, in a world of violence and horror and a world that can only be stopped by",B,4,4,*,both,2,2,,B,4,2,,,23_655_669
"The city was shocked to learn of the shooting Wednesday morning on the corner of Main Street and Broadway.

""We're all shocked, shocked,"" said City Council President Bruce Harrell, who was walking through the city's streets in an effort to catch up","The city is trying out a new way of dealing with the problem of crime and punishment. They're not going to use the same old, tired approach that's been tried and tested before, but they're trying something a little different. They're going for something",neither,4,5,*,A,4,4,,neither,3,3,,,40_820_867
"The painting of Jesus Christ, known by many other names, has been a popular icon of the Catholic and Orthodox Christian faiths. It is a picture of a man who stands for justice for all. It is a symbol of hope, a symbol of hope for a","The painting by William Shakespeare has been the subject of controversy for the last two hundred years. In this article I will try to show you how to identify a number of these common types of errors, and explain how you can spot them before others do.

",B,4,2,*,B,4,1,,B,4,2,,,13_433_247
"The food that is served in the world of Pokémon, as well as in the Pokémon world, is made of many ingredients. For one, it is all made up of Pokémon. The more common of these ingredients are Pokémon-related items. They are the ones","The food is delicious! And they don't have to be boring to enjoy!

I love the fact that they are using real foods, which are usually processed and bland. They have an array of fresh fruits, veggies and meats as well as a lot",B,2,3,*,B,1,2,,B,2,3,,,17_521_151
"The country's top 100 best free online music streaming service sites and apps are in for a big change next year. On April 30, the site that's been dubbed ""Spotify, a free service in search of a free service"" will start offering in-","The country's top court has ruled that the government cannot compel internet service providers to hand over customer metadata under a controversial data retention law because it is unconstitutional.

The court, in a landmark judgment, also ruled against a request by the government to stop internet",neither,3,4,*,both,5,5,,neither,3,4,,,8_161_476
"The road to becoming the next President is a difficult one. You can see the signs of it when you're driving around in the country, or listening to the radio. And yet, the signs aren't necessarily all that great for the candidates. The candidate who","The road to a new iPhone is a long and confusing one.
This is a guide to using the X-Wing as a player, with the help of this video.


This game is in its very early days. There are a few things I",neither,3,2,*,neither,2,1,,neither,2,2,,,0_454_505
"The painting of Jesus Christ, known by many other names, has been a popular icon of the Catholic and Orthodox Christian faiths. It is a picture of a man who stands for justice for all. It is a symbol of hope, a symbol of hope for a",The painting by William Morris depicts a man wearing a mask and looking out of the window of a building. The building is filled with people in suits and women in dresses. The man is talking to a female figure with a mask on top and an umbrella. A,neither,4,5,*,neither,4,3,,neither,4,4,,,13_549_672
"The painting above is one of the best known and most well-known of all the early medieval paintings, but it is also a rather difficult painting to find.

This particular painting was painted in the year 1210 in the area of the village of L","The painting was made from a real painting, as the title would suggest but it is not a real thing. This was made as a joke to help people understand why it was made (and not made by anyone else in the world to begin with), so it",A,4,2,*,A,3,1,,A,3,1,,,12_842_883
"The city of El Alamein was struck with a massive meteorite, which has been found by a meteorite meteorite meteorite was found on the ground and sent to NASA by the American Astronomical Society in the late 20 th century

This is","The city was shocked to learn of the shooting Wednesday morning on the corner of Main Street and Broadway.

""We're all shocked, shocked,"" said City Council President Bruce Harrell, who was walking through the city's streets in an effort to catch up",neither,1,4,*,both,1,4,,both,2,3,,,40_325_54
"The chicken is the most important thing in a dish. It can't just be left out and forgotten. A good chicken is something you're going to eat all day every day. If it's not done right, it's not going to be cooked well.","If a restaurant's food is no longer fresh and good, that's bad news for your health. But that doesn't mean there's an easy way to

Potato Facts & Nutrition

What is Potatoes?

Pot",both,3,4,*,both,2,2,,both,2,3,,,3_406_733
"The potato, like its relatives the bean and the egg, was once a relatively simple way to increase a food's nutritional value.

The most common use for potatoes was cooking them in a mixture of water and oil and, in the early 21st century","The potato is one nutritious staple, and it's an incredibly healthy and nutritious food. But there are a few things you need to know about it and when to eat it.

Potato Facts & Nutrition

What is Potatoes?

Pot",B,4,3,*,B,2,3,,B,2,3,,,37_405_430
"The chicken industry in America is in a state of ""death,"" as the U.S. Department of Agriculture (USDA) is calling it.

According to data from the U.S. Department of Agriculture, the number of birds killed by industrial","The chicken is alive! This chicken has been in the freezer for months now, and it is alive! I am still a little shocked that I did not find another recipe like this one, but that is the beauty of recipes: You always have the best option",B,2,3,*,both,3,2,,B,2,3,,,5_57_844
"The book is divided into sections:

The Introduction : How did this project come to be? What are some of the most interesting parts? The Story : Where does this come from? How has it shaped your own approach to writing? How do you make","The book was published by Penguin on September 28th 2012.

A short story collection by John Green.

Contents

Story [ edit ]

The book is set in a world without magic: a land without wizards or witches. The world",neither,2,3,,neither,4,5,,neither,3,4,,,43_402_764
"The potato is one of the world's most popular vegetables, and it turns out that the potatoes you buy at the store are not just genetically identical. They're also genetically modified. That's because when you boil potatoes in water and turn them back into pure potato",The potato is a common food and has a wide range of uses. There are different methods that can be used to cook the potato and some prefer not to cook it. You can prepare the potatoes in the usual way or in a different way. There are three,A,4,3,*,both,5,3,,A,3,3,,,36_714_108
"The movie is actually called ""The Movie"".

I've never even heard of the person behind the name, because the movie is not a real person, but rather a fictitious movie.

I was thinking I'd have a go at trying and making","The movie is about an ordinary couple who live in a small, rural town, but when they are attacked by the mysterious evil witch and her evil servants, who have been sent by an evil spirit, the couple must go on a journey to find out just what",neither,2,4,*,neither,1,4,,neither,2,4,,,28_133_854
"The movie is a good movie. I've been saying it for a while, and now I think it's time we say it:

The movie is the best thing that's ever been made.

If you've watched it, you know that","The movie ""Tomb Raider"" has a strong female character and is based on the popular action film ""Tomb Raider: Tomb Raider."" This movie will be released in July of 2012.

The movie ""Tomb Raider"" has a strong female character",A,4,3,*,B,3,1,,B,4,3,,,27_577_284
"The book, the one you have been waiting for, the new, updated, and improved version of ""The New Best Friend"" is now available to buy, with a few extra features to add a little bit of excitement. In addition to a new video,","The book is about one man's journey to becoming the best fighter in the world: the legendary Muhammad Ali. He goes from an ordinary, middle aged man, to an extraordinary athlete, a champion fighter, who is also, by his own words, an atheist",A,3,4,*,A,4,4,,A,3,4,,,42_741_586
"Once upon a time, there was a man who lived a very simple life. He lived alone. He didn't do anything, except for watching tv. He was a good person, he just did what he was told and that's about it. He loved his wife","Once upon a time, there was a guy named Bob, he was an awesome person. He was a writer, a good listener, and a good person. He was one of my favorites from my years with the show. I remember the first time we saw each other",neither,4,2,*,neither,3,1,,neither,4,1,,,10_552_525
"The book ""The Secret Lives of the Famous People Who Have Never Been Pregnant"" by Jane Goodall, is now in our hands. This is the book that is the secret to the success of our lives, which we cannot imagine because we are not","The book is divided into sections:

The Introduction : How did this project come to be? What are some of the most interesting parts? The Story : Where does this come from? How has it shaped your own approach to writing? How do you make",A,4,2,*,A,4,4,,A,3,3,,,43_119_870
"The last time that the GOP had to resort to the same tactics to get votes they didn't have to, it got them the Senate.<|endoftext|>The following are excerpts from ""The Secret of Our Success: The Science Behind Getting People to Do More for the World""","The last time I saw my son, I was walking to his school on the way home. I was born in the middle of the night, and I was in love; but the first and the only time that ever happened, it was for the better. It",A,3,1,*,A,2,1,,A,3,1,,,32_499_677
"The lake in the picture.

It's a lake of water. I know, right? Well, if you are a guy who can't take your pants off to take pictures of girls, then don't be surprised if you don't find a lake","The lake in the area of the lake that was the origin of the legend of the Great Flood. Image credit: Wikimedia.

In the 19th century, the legend of Noah's Flood was widely circulated among the American public, but there were a number",neither,3,3,*,neither,1,2,,neither,1,3,,,34_479_448
"The last time I wrote about this topic was a couple of weeks ago, when a reader asked about how to make an apple pie using a pie crust recipe.

This time around, a reader asks about pie crusts, too, so I thought I'd","The last time a man was killed by a woman in the US was the mid-1990s, when a woman in Arizona shot and killed a woman who had tried to break into her home.

It was a brutal act of revenge, and it was the",A,4,2,*,both,3,2,,A,4,2,,,30_858_725
"The road of life in the United States is full of surprises that sometimes seem impossible. But for a lot of people, life in America is not that much different from life elsewhere.

This is what happens when you get to a place where everything is just","The road to the White House is a long one, but it's also a bumpy one, especially for the GOP.

The Republican National Committee on Saturday released its first-in-the-nation survey that found just under half of Republican voters support",neither,4,5,*,B,4,4,,neither,3,5,,,2_306_672
