"From files: positive_pickles/sentiment_2_R.p, positive_pickles/sentiment_2_A.p, positive_pickles/sentiment_2_R,B.p, positive_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,
A,B,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Gabe,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Ben,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,
"The city of Edmonton, AB is located on the edge of the Great Salt Lake in one of the most beautiful places in the world. With breathtaking views, breathtaking mountains, the greatest waterfalls, amazing snowfields and a plethora of amazing natural scenery, it's","The city is hoping to have the project completed by the end of next year.

The project is part of a new development called South Shore.

The project, designed to create a mixed-use district, includes two office buildings along the banks of",A,4,4,,A,5,5,,A,4,5,,,17_395_28
"The last time I checked, there wasn't a lot of space for me on the left side of these things, but this is the most comfortable and functional I've worn them yet. It's also one of the lightest ones I've worn, but I'm","The last time I visited, at the age of 80, I was still living in a large, spacious, and well-furnished house, with a beautiful landscaped lawn, and a beautiful kitchen. I had a lovely wife with wonderful health, and we",B,1,4,,neither,1,2,,B,1,4,,,44_114_439
"The book is an essential read for anyone who is a student of the world and has a need for a good, solid, well-researched, well written, thoroughly researched and well-researched history.

This book will be","The book was written with the help of an anonymous editor and is based on research conducted for my book, ""Biological Diversity: The Human Dimension."" It is a collection of essays written for and by individuals who have had the honor of serving as part of this",A,3,4,,neither,3,4,,A,3,5,,,40_325_54
"The book is a bit of a mixed bag. I really liked the first book, The Last Man on Earth: The True Story of the Last Man on Earth, and the follow-up, The Last Man on Earth 2, both have their flaws. However","The book is a great read, and is an absolute classic to any person who has ever loved the art of cinema. In fact, I don't know of a more important and influential film of its time. The film was a masterpiece of cinematography and storytelling",B,3,3,,B,2,5,,B,2,5,,,39_32_63
"The city of Portland's new bike infrastructure plan has some major changes in store for its residents.

In a new report, City Planning Director Michael Cox says the city's bike lanes, bike racks and sidewalks could get more frequent and better maintained.

",The city of Vancouver will be one of the first to experience a new wave of new and exciting music from the talented artists that have been creating their own brand of musical excellence for the past few years with one song after another. This year marks the debut of The,neither,4,5,,B,4,3,,B,3,3,,,15_378_287
"The potato is growing, the egg is hatched and the new year has arrived! I hope you enjoy it! It is a wonderful sight that shows that the technology is there! We are so excited about what they were to see on the way here!

","The potato is considered a very healthy food that has been used for centuries for its sweet flavor and healthy fiber. This is a true recipe from India, and one that you can adapt. The basic ingredients are boiled potatoes, onions, garlic, curry leaves, salt",A,5,4,,neither,5,4,,A,2,3,,,38_71_388
"The lake, which is one mile long and has a total depth of 5 feet, is about 30 feet below the surface.

The lake's depth is not surprising, but the lake's location means the water is far enough below the surface that its temperature","The lake, which is the largest of its kind to the planet, was the first to use the power, an important achievement. For more than 50 years, the scientists, the students and the community have been using the powerful solar radiation to study how Earth's",neither,3,3,,neither,3,2,,neither,2,2,,,28_748_807
"The country's first fully immersive immersive experience featuring a cast of award-winning actors will begin shooting this summer.

The story, titled The Art of War: A Journey into World War II, is a unique blend of art, cinema, drama, interactive","The country's first ""super"" solar farm was completed in the village of Lajang district, which will soon be used to power about 200 households, including schools. The village's village chief, who is also a deputy chief engineer, said that the first",A,2,3,,B,2,4,,A,2,3,,,3_75_838
"The book is an essential read for anyone who is a student of the world and has a need for a good, solid, well-researched, well written, thoroughly researched and well-researched history.

This book will be","The book is called What Happens In Vegas: The Hidden Truths Behind the Top 50 NFL Teams, and the article is called ""The NFL's Most Valuable Player and the Top 50 NFL Teams That Never Play"" (The Atlantic).

The article",A,3,4,,A,3,4,,A,3,4,,,40_673_236
"The potato, the star of the ""Golden Age"" of Food, is a fascinating example of an unusual and delicious food.

While other plants are known for their amazing range and ability to thrive in a wide variety of conditions, potatoes are known for being","The potato is a staple in many people's kitchen, and it is an easy food to grow in many ways.

The best potato growing method is to plant the potatoes in pots of soil with a high percentage of organic matter. You can grow more potatoes",A,4,5,,neither,5,4,,A,4,3,,,36_115_744
"The city's chief planner, John Paget, was asked by a constituent why a public works budget that was approved this week would not include $15 million for transit projects to connect downtown and the waterfront to downtown parks.

""Why would they spend $",The city of Vancouver will be one of the first to experience a new wave of new and exciting music from the talented artists that have been creating their own brand of musical excellence for the past few years with one song after another. This year marks the debut of The,B,4,5,,B,5,3,,B,5,3,,,15_580_695
"The lake in the area has a population of just over 1,000 people. The lake has a population of just over 1,000 people. Photo: Paul Chinn/Special To The Chronicle

A view of San Francisco lake from the north of the",The lake is a very special place and is the home to a number of amazing creatures including many of the best birds. The best of them are great to see with the naked eye in the sun. The great majority of these great birds are found on the Lake,B,2,4,,B,2,4,,B,2,4,,,27_60_475
"The president of the country's oldest and most influential Islamic institution has been named as the country's next governor.

Abdulla Hijazi will assume the post next month and be sworn-in on Monday. He will be succeeded by the head imam, Muhammad","The president of the country's largest labor union has called for a boycott of McDonald's after the fast-food hamburger company fired an employee on Thursday for using racial slurs. ""I am not in a position to say if we'll be boycotting because of what's happening",neither,3,3,,neither,3,5,,neither,5,5,,,2_306_672
"The horse is one of the most beautiful creatures on the planet, and yet it is a common sight to see a great number of great artists that have never even seen a single one before, and they are usually quite stunning in their own right and have been admired","The horse is a common source of protein for horses, which are fed a diet rich in protein. But in order to meet their needs, horses must have their own source of food. In this article, we look at how a horse's diet can affect its",A,4,4,,neither,3,4,,neither,3,3,,,6_271_178
"The book is an epic tale of a group of great minds and a superbly talented band and I have a very big heart for you. I want to make you feel the way I felt about this incredible story, the power of this amazing book and the incredible","The book is an essential read for anyone who is a student of the world and has a need for a good, solid, well-researched, well written, thoroughly researched and well-researched history.

This book will be",both,3,3,,A,3,3,,both,3,3,,,40_799_97
"The country's top court is likely to uphold a law that allows police to stop and search anyone they suspect of being involved in an illegal drug trade.

The ruling will have immediate consequences for the police, but for some time it was likely to remain in","The country's most affordable, award winning wines.

The highest quality, most varied and most accessible range of wine for the most budget-conscious wine enthusiast. Our wine is carefully selected to meet all of your needs. We offer a wide variety in prices",B,4,4,,neither,4,5,,B,5,5,,,5_580_759
"The last time I wrote about this topic was a couple of weeks ago, when a reader asked about how to make an apple pie using a pie crust recipe.

This time around, a reader asks about pie crusts, too, so I thought I'd","The last time I was on the West Coast, I was driving down the road, looking for a place to eat and was surprised to find a restaurant called ""Tenderloin"". They were a little bit more upscale. There were also some amazing sandwiches and salads",B,3,5,,neither,4,5,,neither,3,5,,,42_608_130
"The city of Toronto's housing market is set for a historic boom in housing development that will change the face of the city.

The city's planning department released a report on Tuesday, which found that housing demand has been driven by the rapid growth of population","The city is now accepting applications for an additional $3 million to add parking spots in its new $1.5 billion City Center development project.

City Council approved the $3 million project on April 12. Council voted to fund the project, which was",neither,4,5,,neither,3,5,,A,3,5,,,17_57_454
"The road to a better future is not an easy one; but it is a path I have decided to pursue to the best of my ability. The road I have chosen is one which is not only about me, but also about my community and its future.","The road to a great performance.

The new NVIDIA® GameStream technology delivers the most powerful video streaming with the lowest latency ever. Get up to four times the performance for less than the price of a dedicated hardware GPU. It works like the latest cutting",neither,3,4,,A,5,4,,B,5,4,,,12_544_899
"The book is an epic tale of a group of great minds and a superbly talented band and I have a very big heart for you. I want to make you feel the way I felt about this incredible story, the power of this amazing book and the incredible","The book was written with the help of an anonymous editor and is based on research conducted for my book, ""Biological Diversity: The Human Dimension."" It is a collection of essays written for and by individuals who have had the honor of serving as part of this",A,3,4,,A,3,4,,A,3,5,,,40_431_622
The city of Vancouver will be one of the first to experience a new wave of new and exciting music from the talented artists that have been creating their own brand of musical excellence for the past few years with one song after another. This year marks the debut of The,"The city of San Francisco has approved a plan to allow the sale of wine, beer and wine are drinkable and alcoholic alcoholic alcoholic beverage is alcoholic beverage alcoholic alcohol alcoholic liquid alcoholic alcoholic liquid alcoholic beverage alcohol beverage alcoholic liquid alcoholic liquid alcoholic alcoholic liquor alcohol alcoholic liquor alcohol",A,5,1,,A,3,1,,A,3,1,,,15_515_141
"The last time I visited San Juan, I had the opportunity to visit a museum of Mexican history and culture, the Miskatonic University's San Juan Art Museum. The museum, located near the historic Mexican border, is one of the best in the world and","The last time the Giants played a division rival was the 2011 season. It was the Giants' only appearance of the year against a division opponent, a game in which they blew a 21-7 lead to the New York Jets and were outscored 34-0",neither,5,4,,neither,4,3,,A,5,2,,,43_402_764
"The chicken was delicious – wonderfully moist, perfectly delicious, superbly fresh – and perfectly cooked. The only thing to say is that the sauce was excellent, and I think that the broth really complemented all of the other flavors. The best part was the sauce","The chicken and tomato recipes I'm sharing today are perfect for using with a guitar or other electric musical instrument. A guitar-powered electric guitar, or a guitar-enabled guitar amplifier (the most powerful and fun guitar amp ever!

This amp features a",both,3,2,,both,3,1,,both,3,1,,,10_751_705
"The road to a better future is not an easy one; but it is a path I have decided to pursue to the best of my ability. The road I have chosen is one which is not only about me, but also about my community and its future.","The road to a great performance.

The new NVIDIA® GameStream technology delivers the most powerful video streaming with the lowest latency ever. Get up to four times the performance for less than the price of a dedicated hardware GPU. It works like the latest cutting",neither,3,5,,A,5,4,,B,5,4,,,12_842_883
"The pizza is amazing. The sauce is soooooo good and the crust is fantastic. The dough is perfect in texture and taste. I will absolutely be back for more.<|endoftext|>""A wonderful piece of artwork, the workmanship and craftsmanship is outstanding.""","The pizza-like, creamy, and so so so so so so good! I love the flavor of it, though. I would make it again.

I am very happy with this, and I have made it many times. I am also not",both,2,2,,both,2,2,,both,5,1,,,30_595_637
"The potato and potato-shaped: A guide to all things delicious


The world's largest potato is a fascinating, if a bit surprising, sight: A dazzling array of beautiful shapes.

The spectacular display of brilliant colours is all thanks to a team","The potato is probably the oldest living plant on Earth and probably grew its roots on the ground for millions of years before the Earth's crust was formed. But how exactly does it get started?

In fact, the potato has been around since the beginning of",A,3,5,,neither,2,5,,A,1,3,,,37_707_796
"The pizza is a great option, but you're going to be spending more time eating than cooking, so make sure to keep an eye out for fresh produce to save time and resources. It's also a good idea to bring a reusable plate for when you have","The pizza-like, creamy, and so so so so so so good! I love the flavor of it, though. I would make it again.

I am very happy with this, and I have made it many times. I am also not",B,4,2,,B,3,2,,A,4,1,,,30_858_725
"The country's most innovative and best-known luxury home

The finest, finest, most unique design

The most stunning, most elegant design

An extraordinary array of features, from the most elegant interior design, to the most sophisticated interior design
","The country's largest public school system, the University of Phoenix High School District in Tempe, is considering offering a $100,000 scholarship to a high school student who completes a four-month course in psychology in order to become a teacher. The school board",A,3,3,,B,2,3,,A,2,4,,,5_397_466
"The country's most prominent religious figure, Sheikh Muzaffar al-Qassib, has warned that Islam is ""in a terrible state"" after the Islamic State group (ISIS) captured Mosul, the second largest city of Iraq and an oil-producing","The country of the United States is a great place to be a man in the world – and that includes being a feminist.
The U.S. is the only country in the world that is the first to allow the public for the first time to have",B,4,2,,neither,4,3,,B,5,2,,,3_460_617
"The painting of a female head and arms by Pablo Picasso is a reminder that he was one of the most prolific painters ever.

The iconic image is now housed in the National Museum of Fine Arts, a museum whose collection of Picasso's works","The painting is the second of its kind to grace a Texas college campus.

A student-designed poster that depicts a woman in a dress and a pair of boots walking with a man in a dress and another woman in a dress and another man in a",neither,4,3,,neither,4,3,,neither,4,3,,,26_242_444
"The year is 1910. A new, revolutionary weapon is developed: a powerful, powerful weapon, the strongest weapon in the world, capable of destroying an entire planet. It is said to be so powerful that it's already changed the face of the globe.

The world","The year is 1910. The United States has reached its full capacity of manufacturing goods. This is good news for America. It means more jobs, more money, fewer regulations, more competition. As a new wave of industrial revolution takes place, Americans are eager to invest in new",neither,3,4,,neither,3,5,,B,4,5,,,33_505_854
"The country's largest public school system, the University of Phoenix High School District in Tempe, is considering offering a $100,000 scholarship to a high school student who completes a four-month course in psychology in order to become a teacher. The school board","The country's top court is likely to uphold a law that allows police to stop and search anyone they suspect of being involved in an illegal drug trade.

The ruling will have immediate consequences for the police, but for some time it was likely to remain in",neither,3,4,,A,3,4,,neither,4,5,,,5_562_728
"The movie adaptation of Stephen King's novel is set to be released in the UK in the Spring of 2016.

The project was first announced by the King's estate back in March of 2013, and the news of the release is now confirmed by The Independent","The movie is a good idea, but it's not a very good movie. It doesn't have any story. The characters are not developed. There is no plot. There are no stakes. It's a movie, but it lacks the emotional depth and the",neither,5,4,,neither,5,3,,neither,5,4,,,18_590_744
"The city's chief planner, John Paget, was asked by a constituent why a public works budget that was approved this week would not include $15 million for transit projects to connect downtown and the waterfront to downtown parks.

""Why would they spend $","The city of Portland's new bike infrastructure plan has some major changes in store for its residents.

In a new report, City Planning Director Michael Cox says the city's bike lanes, bike racks and sidewalks could get more frequent and better maintained.

",neither,4,4,,neither,5,4,,neither,5,3,,,15_664_6
"The president of the country's main political parties has called for a constitutional convention to be held to discuss constitutional changes in order to ""protect the rights of the country's citizens and ensure the rule of law"".

In a statement published on Tuesday evening, the president of the","The president of the country's largest and oldest science fiction and fantasy literature festival, the Hugo, is honored to have been recognized for being ""an extraordinary human being and an extraordinary writer"" with ""a brilliant mind, a brilliant mind of his own choosing, a brilliant mind of",B,5,2,,B,5,3,,B,5,2,,,0_614_335
"The lake is a popular destination for those on their first trip to the beach, was a great little speaker. The speaker is great, and I would recommend it very highly for the price!

Verified purchase: Yes | Condition: New<|endoftext|>The following","The lake is a lake-like structure on the island of Sint Maarten. It is the main source of drinking water in the islands. It is surrounded by several islands, one of which is the small island that makes up the island of Sint Ma",A,2,2,,neither,1,2,,A,1,2,,,29_377_484
"The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the","The lake and the city have been in the family since I was a boy, and since then I have seen the wonders of the world, and I will do my best to share it with you. I hope I can make you smile and make you laugh.",B,3,4,,B,3,3,,B,2,3,,,27_198_133
"The horse is dead. And it's going to die fast. This horse was not a healthy horse to start off the season, but he's still got some tricks left in his repertoire.

The Kentucky Derby is not only the biggest horse race in the","The horse-power of a car engine can be as low as 10 horsepower, as high as 30 horsepower. That's a lot of horsepower, and it means you can use more torque and horsepower. That makes cars a lot more fun to drive than a horse",neither,3,3,,neither,2,3,,neither,1,3,,,7_434_252
"The lake is a beautiful place to visit. The water is so clear it feels like you are walking on an ocean of water. The birds are singing and playing on the waves, and all the fish and wildlife are plentiful in the waters of this great lake.","The lake is a lake-like structure on the island of Sint Maarten. It is the main source of drinking water in the islands. It is surrounded by several islands, one of which is the small island that makes up the island of Sint Ma",A,4,2,,A,5,2,,A,5,2,,,29_763_404
"The movie, which is based on a true story of a young, talented, and ambitious young woman, who is diagnosed with a rare, rare and very rare disease, is now the most successful film of all time.
The critically acclaimed, award-winning","The movie is a good idea, but it's not a very good movie. It doesn't have any story. The characters are not developed. There is no plot. There are no stakes. It's a movie, but it lacks the emotional depth and the",A,2,4,,A,2,3,,A,2,4,,,18_421_324
"The president of the country's largest and oldest science fiction and fantasy literature festival, the Hugo, is honored to have been recognized for being ""an extraordinary human being and an extraordinary writer"" with ""a brilliant mind, a brilliant mind of his own choosing, a brilliant mind of","The president of the country's main political parties has called for a constitutional convention to be held to discuss constitutional changes in order to ""protect the rights of the country's citizens and ensure the rule of law"".

In a statement published on Tuesday evening, the president of the",A,2,5,,A,3,5,,A,2,5,,,0_231_856
"The last time I was on the West Coast, I was driving down the road, looking for a place to eat and was surprised to find a restaurant called ""Tenderloin"". They were a little bit more upscale. There were also some amazing sandwiches and salads","The last time I saw him was at his wedding in 2009. He was 93, his wife was 92, and they had two beautiful granddaughters living with them. He was wearing a very expensive diamond ring with a very high diamond value; the ring was made",both,5,3,,both,5,4,,A,5,3,,,42_574_607
"The country's largest indoor painting event!


Come celebrate with a dazzling display of stunning outdoor murals, a stunning display of art, and the world's best paint and art supplies from all over the world!

The 2018 Art of Painting at the","The country's largest supermarket operator, Sainsbury's (SJEU.L), will stop offering the ""most popular"" food and drink at its stores in England and Wales from Tuesday, following complaints from members of the public who were not offered the products",A,3,3,,A,4,3,,A,5,4,,,4_15_268
"The city of Edmonton, AB is located on the edge of the Great Salt Lake in one of the most beautiful places in the world. With breathtaking views, breathtaking mountains, the greatest waterfalls, amazing snowfields and a plethora of amazing natural scenery, it's","The city is now accepting applications for an additional $3 million to add parking spots in its new $1.5 billion City Center development project.

City Council approved the $3 million project on April 12. Council voted to fund the project, which was",A,4,5,,A,5,5,,A,4,5,,,17_759_58
"The year is 1910. The young and talented Russian composer, O.P. Dmitritch, has just won the first prize of his lifetime: a lifetime achievement prize for the opera of the Siena opera house, a prize that he has since won twice: in 1909","The year is 1910. In his new job as editor of the New York Daily Mirror, the legendary writer John Steinbeck begins an odyssey that will change his life forever. Written with the same spirit of humor and heart-felt humanity that has brought him fame and fortune throughout",both,3,4,,A,2,5,,B,1,5,,,35_87_178
"Once upon a time, the planet Venus was a pleasant, beautiful, and very hot place to visit. It was the perfect place to see a dazzling array of stunningly colored, intensely detailed Venusian landscapes.

The Venusian environment is also one of the greatest","Once upon a time, a man had the power to change the world.

A man named John was in his 20's and an experienced man in his early 20's. He had a gift of the divine.

The gift was the power of the Holy",A,4,4,,B,4,3,,A,4,3,,,21_87_753
"The book is written in such a simple and clear way that you could easily read it in a split second.


A few days later, I found myself sitting with my friend's mom and father, and her father sitting next to him, and I could","The book is a collection of over 200 of my most incredible and inspiring experiences! This is a great guide to the amazing people I have met and the amazing things that have happened to me! I have also included some photos, some of my personal stories, my",B,3,4,,B,1,4,,B,1,4,,,41_224_389
"The painting by Paul Gauvraves

A very good and detailed painting, I would recommend for all those people who want to see it in person:<|endoftext|>The most beautiful piece of art ever created has arrived: a stunning and mesmerizing depiction of the","The painting was painted over a year ago, but the original is still intact in a safe in the museum. It had been stolen from the museum by someone who believed it was a masterpiece.

It depicts four women, each holding hands with two fingers extended",A,4,4,,A,2,3,,A,1,4,,,24_247_156
"The year is 1910. The United States has reached its full capacity of manufacturing goods. This is good news for America. It means more jobs, more money, fewer regulations, more competition. As a new wave of industrial revolution takes place, Americans are eager to invest in new","The year is 1910. One of his friends is an old-school writer, and the two of them start a new series of short stories, each a stunning work of the most amazing imagination of the mind and the art of the hand. The most incredible talent and the most",A,4,4,,both,5,3,,A,5,3,,,33_486_3
"The year is 1910. In his new job as editor of the New York Daily Mirror, the legendary writer John Steinbeck begins an odyssey that will change his life forever. Written with the same spirit of humor and heart-felt humanity that has brought him fame and fortune throughout","The year is 1910. In his new job as editor of the New York Daily Mirror, the legendary writer John Steinbeck begins an odyssey that will change his life forever. Written with the same spirit of humor and heart-felt humanity that has brought him fame and fortune throughout",both,4,4,,neither,5,5,,both,5,5,,,35_528_562
"The country's highest court has ruled that the use of a ""sadistic and repugnant"" video to incite a religious debate in a public place is protected speech.<|endoftext|>It's the most important time of the year!
The following information comes from","The country's most popular and most influential conservative radio show hosted by Glenn Beck.

Beck is currently at his highest-ever ratings for the show, averaging 9.6 million listeners and counting, according to Nielsen, and he is also at number 1 on",B,4,5,,neither,4,4,,B,3,5,,,4_869_414
"The lake, which is the largest of its kind to the planet, was the first to use the power, an important achievement. For more than 50 years, the scientists, the students and the community have been using the powerful solar radiation to study how Earth's","The lake has been filled up with the lake water since it was first released in the 1980s. (Photo: File photo)

The lake in which Lake Superior's Great Lakes are being fed has been filled in by about 40 inches of rain from the",A,3,3,,neither,2,2,,neither,2,1,,,28_3_90
"The chicken and cheese sandwich is a classic American food, and one that has become synonymous with the city of Chicago for the past two decades—the city that was once the home of the first chicken sandwich, a staple of the 1950s, '60s and","The chicken was delicious – wonderfully moist, perfectly delicious, superbly fresh – and perfectly cooked. The only thing to say is that the sauce was excellent, and I think that the broth really complemented all of the other flavors. The best part was the sauce",B,5,3,,B,5,3,,B,3,3,,,10_350_403
"The last time the city's most iconic landmark was a great time of the year to enjoy a very spectacular and very important exhibition, with a very high level of quality and excellence. At first sight, it is a remarkable display of the most advanced techniques and techniques,","The last time I visited San Juan, I had the opportunity to visit a museum of Mexican history and culture, the Miskatonic University's San Juan Art Museum. The museum, located near the historic Mexican border, is one of the best in the world and",A,4,5,,B,4,4,,both,3,5,,,43_119_870
"The year is 1910. A few years after the revolution of 1917, Germany is ruled by a new government headed by Wilhelm II of Prussia, who has the support of many German citizens. But there's something that Wilhelm wants most, and that is to destroy Germany, and","The year is 1910. You're a young, ambitious young lawyer in New York City with lots of free time. A lot of free time, you know? You're in a room with your colleagues, you're drinking coffee, and you're having a nice, relaxing coffee",B,3,3,,neither,3,3,,neither,3,2,,,34_460_374
"Once upon a time, the most important part of your job is managing your employees. In the past few years though, there has been a shift away from the concept of managing your employees and toward the notion of hiring managers or the people who are responsible for recruiting, hiring","Once upon a time in the mid-'70s and early-'80s, a young man named Tom Staggs was making some of the world's highest-profile films. He was making the most high-profile films of his career—his first feature, an",B,4,4,,neither,3,4,,B,2,3,,,22_156_102
"The pizza dough is very good, and I loved that it's vegan as well and that there's a great range of flavours. The best tasting pizza is the one with the perfect flavours, which is why I love the 'best of the best' tasting pizz","The pizza is delicious and the sauce is delicious! I have never had a better pizza!

A great place for a great price!

I have been coming here almost daily for over 10 yrs and I'm not a big pizza fan but the",both,4,4,,both,3,3,,both,3,4,,,31_183_85
"The country's first ""super"" solar farm was completed in the village of Lajang district, which will soon be used to power about 200 households, including schools. The village's village chief, who is also a deputy chief engineer, said that the first","The country's most prominent religious figure, Sheikh Muzaffar al-Qassib, has warned that Islam is ""in a terrible state"" after the Islamic State group (ISIS) captured Mosul, the second largest city of Iraq and an oil-producing",neither,3,4,,A,4,4,,neither,3,5,,,3_58_412
"The horse (H) is a favorite of all the scientists. We all know this, but what we don't realize is that the horse has some amazing powers as an animatronic, with the ability to levitate, and to fly at great speeds through","The horse is the best thing that has ever happened to me. I've had my own horse, which I've owned for over a year and a half, since I bought it.

I don't think you can really explain this to someone who hasn",both,4,2,,B,3,2,,both,3,3,,,8_71_354
"The last time the Giants played a division rival was the 2011 season. It was the Giants' only appearance of the year against a division opponent, a game in which they blew a 21-7 lead to the New York Jets and were outscored 34-0","The last time the city's most iconic landmark was a great time of the year to enjoy a very spectacular and very important exhibition, with a very high level of quality and excellence. At first sight, it is a remarkable display of the most advanced techniques and techniques,",neither,4,4,,neither,3,4,,B,2,3,,,43_764_741
"The country's most popular and most influential conservative radio show hosted by Glenn Beck.

Beck is currently at his highest-ever ratings for the show, averaging 9.6 million listeners and counting, according to Nielsen, and he is also at number 1 on","The country's largest indoor painting event!


Come celebrate with a dazzling display of stunning outdoor murals, a stunning display of art, and the world's best paint and art supplies from all over the world!

The 2018 Art of Painting at the",both,5,3,,neither,4,4,,B,5,5,,,4_890_27
"The painting of the ancient Egyptian goddess Isis by the Greek artist, Hieronymus Bosch, in which she was depicted as holding a golden sword, was painted on a wall in the Egyptian city of Herculaneum in the early 19th century. The","The painting, which has been painted in three separate versions, appears on the walls of the Museum of Fine Arts in New York, where it became one of the most sought-after works in the country and the most expensive ever sold at auction. The painting was",neither,4,4,,neither,3,4,,neither,4,3,,,25_116_98
"The pizza delivery service is known for its fast delivery and customer service. They've received a ton of press for that in recent years, and recently got more attention for their new partnership with the NFL. This deal with the league will allow them to use NFL logos","The pizza delivery service is known for its fast delivery and customer service. They've received a ton of press for that in recent years, and recently got more attention for their new partnership with the NFL. This deal with the league will allow them to use NFL logos",neither,4,4,,neither,4,4,,neither,3,3,,,31_26_480
The lake is a very special place and is the home to a number of amazing creatures including many of the best birds. The best of them are great to see with the naked eye in the sun. The great majority of these great birds are found on the Lake,"The lake and the city have been in the family since I was a boy, and since then I have seen the wonders of the world, and I will do my best to share it with you. I hope I can make you smile and make you laugh.",A,4,4,,both,4,3,,A,4,3,,,27_139_253
"The road of redemption is long and full of joy and sorrows and triumphs. I've learned from all that, and I'm grateful to have found it here.""

–John F. Kennedy Jr.

In this touching tribute to the man","The road to independence for Catalonia was never easy. After Spain declared independence from Spain in 1814, Catalonia was divided, and a civil war broke out between Spanish nationalists who wanted the Catalan region to secede and the Catalan nationalist forces who wanted to stay.",neither,4,2,,neither,3,2,,neither,4,2,,,13_659_176
"The movie is a good, and it has the makings of being a great film, if it doesn't take you a long time to get to the film's great beauty and stunning performance by the performances by Richard Avedon, The New Yorker, The","The movie is a good one, though it could be argued that it's not the best movie of 2012. There are a few plot holes, a few questionable choices, and one glaring misjudgment by director Alfonso Cuarón. But overall, it",neither,5,4,,neither,3,4,,A,2,5,,,19_367_872
"The potato is the second most expensive vegetable, behind beef. But it has a surprising secret: It's also one of the most nutrient-dense.

This year alone, a whopping 10 million tonnes of potatoes, carrots, cabbage, celery and","The potato, the star of the ""Golden Age"" of Food, is a fascinating example of an unusual and delicious food.

While other plants are known for their amazing range and ability to thrive in a wide variety of conditions, potatoes are known for being",B,4,4,,neither,1,5,,B,1,4,,,36_14_863
"The painting is a beautiful, complex, and stunningly beautiful work of art, but the real power behind that power lies in the way in which he does it so well. ""The only thing in the world more compelling to me than the beautiful and the brilliant","The painting is a beautiful, complex, and stunningly beautiful work of art, but the real power behind that power lies in the way in which he does it so well. ""The only thing in the world more compelling to me than the beautiful and the brilliant",neither,3,3,,both,3,3,,both,3,3,,,26_221_287
"The painting is by the great and good of the American art world, the great American artist, Thomas S. Merton, who is the most famous of the American Renaissance. His paintings are the great work of art of our time, in fact it has a","The painting of the ancient Egyptian goddess Isis by the Greek artist, Hieronymus Bosch, in which she was depicted as holding a golden sword, was painted on a wall in the Egyptian city of Herculaneum in the early 19th century. The",neither,3,4,,neither,3,3,,A,2,4,,,25_257_820
"The pizza is delicious! It can be made a day ahead and it makes a great gift! Thank you so much for a wonderful experience! I will be using yours again soon!<|endoftext|>I am the first to admit that when I'm bored, I do have",The pizza is very delicious. I have not tried the sauce yet and will be trying to find a recipe. I made this for a friend for his 75th anniversary and she loved it! I will try this recipe again! Thanks for the recipe! -R,both,3,2,,both,3,2,,both,3,2,,,32_499_677
"The city of Los Angeles will soon start installing a $1,000-a-month solar-powered roof that will allow homeowners to install solar panels on their roofs.

The roof, which is called the ""Solar Roof,"" is the product of a","The city of Calgary's new park will showcase a unique and exciting new project is to provide a wonderful, unique, breathtaking, awe-a-terrific experience for the visually impaired.

A new exhibition in this, a new exhibition and exhibition,",B,3,1,,neither,3,2,,B,2,1,,,16_102_389
"The painting is the second of its kind to grace a Texas college campus.

A student-designed poster that depicts a woman in a dress and a pair of boots walking with a man in a dress and another woman in a dress and another man in a","The painting is a beautiful, complex, and stunningly beautiful work of art, but the real power behind that power lies in the way in which he does it so well. ""The only thing in the world more compelling to me than the beautiful and the brilliant",B,3,3,,neither,3,3,,B,3,3,,,26_120_81
"The painting, which has been painted in three separate versions, appears on the walls of the Museum of Fine Arts in New York, where it became one of the most sought-after works in the country and the most expensive ever sold at auction. The painting was","The painting is the most amazing gift I have ever received, a gift that, for me, I can never forget. I love it so much and it has been a very exciting time for the family. The beautiful and warm color is a great gift for me",B,4,4,,B,4,2,,B,3,3,,,25_734_455
"The last time I wrote about this topic was a couple of weeks ago, when a reader asked about how to make an apple pie using a pie crust recipe.

This time around, a reader asks about pie crusts, too, so I thought I'd","The last time I saw him was at his wedding in 2009. He was 93, his wife was 92, and they had two beautiful granddaughters living with them. He was wearing a very expensive diamond ring with a very high diamond value; the ring was made",B,3,3,,neither,4,4,,neither,3,3,,,42_312_511
"The chicken is very flavorful. I have to give a big shout out to the chicken, and the sauce is amazing. I made a few changes to the recipe as I added the chicken, and the wine I put into the chicken is to make the sauce that","The chicken is cooked, the sauce is poured over the top. The sauce is thickened with the chicken fat and the meat is cooked until crispy.
The chicken is now cooked, it is served with vegetables and a salad.
The salad is made with",A,3,4,,neither,3,3,,A,3,4,,,11_449_224
