"From files:neg_pickles/sentiment_2_R.p,neg_pickles/sentiment_2_A.p,  neg_pickles/sentiment_2_R,B.p, neg_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,,,,,,,,,
A,B,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,North,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,prabha,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,,,,,,,,,
"Once upon a time, when I started playing video games, there weren't much choices to make. You could choose from any of the many options that were available for games like Quake or Call of Duty. In those games, you could choose your character by picking a class","Once upon a time, there was an old lady who was sitting next to her with an open container of water on the floor, and a paper bag of the water on top of her, which she had to throw away in the garbage can.

In the US",both,4,3,,both,5,4,,neither,2,2,,,,,,,,,,,22_766_791
"The potato is one of the most popular vegetables. It is the most popular vegetable in the world and, of course, the world is a very big place. We eat it every single day. The only people who can eat the same amount of potato are the","The potato is a great, easy and cheap food, even if you're the one who eats it raw. But it is a poor choice of food. You need to cook it first. If it isn't cooked, it's a terrible dish for a family",B,4,3,,B,3,3,,B,3,2,,,,,,,,,,,43_557_651
"The president of the country's largest university is calling on the university to remove a statue of a Nazi-era leader from the campus grounds.

""It is the most abhorrent thing I have read in a long time,"" said the Rev. William J. Barber of","The president of the country's largest university is calling on the university to remove a statue of a Nazi-era leader from the campus grounds.

""It is the most abhorrent thing I have read in a long time,"" said the Rev. William J. Barber of",both,5,5,,both,4,4,,both,2,2,,,,,,,,,,,11_705_15
"The president of the country's largest university said Wednesday that he is ""shocked and disappointed"" by the recent ""shameful"" video from the University of Florida.

""I am shocked and disappointed that the University of Florida would do such a thing in such a","The president of the country's largest university, University of Illinois, says the president of the country's largest university, University of Illinois, is calling on the school to fire a professor whose book criticized Trump.

""I think that this is a really terrible idea,"" said",both,4,1,,both,5,1,,both,5,3,,,,,,,,,,,10_751_705
"The road to becoming the next President is a difficult one. You can see the signs of it when you're driving around in the country, or listening to the radio. And yet, the signs aren't necessarily all that great for the candidates. The candidate who","The road to the 2016 NBA Draft is one of the most dangerous in professional sports, where the prospect is given a platform to be a "" "" and it is the time to start to start to get to know the person and get some information. I could not",both,3,2,,both,4,3,,B,4,1,,,,,,,,,,,18_314_793
"Once upon a time, there was a time that I was in a car accident (the one I have the most in-game photos of). At the time, I was in a terrible wreck, and my car broke down to the ground. I ended up on cr","Once upon a time, it took me some effort to figure out how to use my new Raspberry Pi 3 board. In fact, for the first time in ages, I had to ask myself, is there anything I really need to be aware of when I'm doing something",A,2,4,,A,2,5,,A,2,3,,,,,,,,,,,21_35_162
"The last time I had the chance to go to a show, I was so drunk that I was just sitting on the ground and the lights weren't on. I had a lot of stuff to do and the only light in the venue was a fucking shitty fucking bulb","The last time the Giants played a division rival was the 2011 season. It was the Giants' only appearance of the year against a division opponent, a game in which they blew a 21-7 lead to the New York Jets and were outscored 34-0",both,3,4,,both,2,3,,A,3,3,,,,,,,,,,,28_3_90
"The last time I was on the West Coast, I was driving down the road, looking for a place to eat and was surprised to find a restaurant called ""Tenderloin"". They were a little bit more upscale. There were also some amazing sandwiches and salads","The last time I was in the U.S. I took the bus.

I was in the middle of the street and all the cars were going the other direction. It wasn't a bad place to be, just not very nice to get in the",B,4,4,,B,5,4,,neither,5,2,,,,,,,,,,,27_60_475
"The pizza is served with a crust made from a combination of flour, water and cheese, and topped with a fresh basil and olive oil.

I have been craving this basil pesto for some time, but I always had a hard time finding any,","The pizza industry may be booming, but there's something missing from its offerings: the traditional slice of pizza. In a country that prides itself on fresh food options (including a plethora of pizza parlors), the pizza industry has long struggled to find a",neither,3,5,,neither,4,4,,B,2,5,,,,,,,,,,,1_196_222
"The book ""The Myth of the Rational Voter"" is an attempt to refute this claim.

The book begins by noting that the Republican Party has become much bigger than it was 20 years ago because it adopted policies that have led to massive voter suppression efforts in","The book of the Book of Mormon

The Book of Mormon, by the way is a fictional book of a fictitious author. The book is not real, and the author is not who he says he is. It is not true.



",neither,5,4,,neither,5,4,,both,4,3,,,,,,,,,,,15_214_869
"The country of Israel, which is the world's largest exporter, has a long history of support for the anti-Semitic, anti-Arab, and pro-Iranian terrorist groups that are in the Middle East.

Israel is a major supporter of","The country has a reputation for being one of the most dangerous places in the world, and with good reason. In a study of nearly 1,100 countries, the World Health Organization said that nearly a third of all people who die in the country die from violent",both,5,4,,both,5,5,,both,4,5,,,,,,,,,,,33_505_854
"The year is 1910. It is the year of World War I, and the American government is trying to keep the German people from fighting for their country. The American president is the famous Teddy Roosevelt. The American people are being told to take up arms. The young soldiers are",The year is 1910. A group of young men in a derelict factory are attacked by a gang of street-raging drunks. The men are badly burned and their corpses are dumped in a septic system. They have no way of getting out of the cesspit,both,2,3,,both,2,2,,B,4,5,,,,,,,,,,,26_120_81
"The president of the country's largest hospital group said Monday that the nation's second-worst hospital-in-chief is ""in a state of crisis,"" and that it's ""time to move beyond"" the controversy and focus more on how it's doing business.

","The president of the country's leading university has called for a national ban on ""rape-culture"" in schools and has warned that a lack of education is causing young people to be ""misgender"" and act in ways that are ""unacceptable.""

Dr. George",A,4,4,,A,5,4,,both,4,4,,,,,,,,,,,9_619_370
"The book is not perfect. In part, because the author has no idea who she is.

The book is not perfect. In part, because the author has no idea who she is.

It was a great read. The book is about","The book is written in such a simple and clear way that you could easily read it in a split second.


A few days later, I found myself sitting with my friend's mom and father, and her father sitting next to him, and I could",neither,2,3,,neither,2,2,,neither,1,2,,,,,,,,,,,17_57_454
"The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the","The lake, at a depth of about 5,000 feet, is not a very pleasant place to be.

It is a very hot day and the air is very thick.
The air is very bad in the area where I am from.
",B,4,2,,B,4,3,,B,2,1,,,,,,,,,,,30_264_873
"The last time I was in a car was when I was 15. I was driving from my apartment to my friend's house in San Francisco. We had to take a detour, so we took an hour to get to work, where we met up with two","The last time I was to this place I was in the mid-80s, and my mother was the first to tell me I was a weirdo. I was a weirdo. I was a weirdo. I was a weirdo. I was a",B,5,1,,B,4,1,,B,4,1,,,,,,,,,,,27_198_133
"The book of Mormon and the world are two sides of one coin. It is a book written for children and adults that is not meant for them. The Book of Mormon is not intended for adults, nor should its use be.

It should be left","The book is called The New Jim Nabisco, and the rest of the series is the new Jim, in a nutshell, with a ""B"" in bollocks.<|endoftext|>This is a rush transcript. Copy may not be in its final form.
",neither,4,2,,neither,5,2,,neither,2,2,,,,,,,,,,,16_332_473
"The potato is a great, easy and cheap food, even if you're the one who eats it raw. But it is a poor choice of food. You need to cook it first. If it isn't cooked, it's a terrible dish for a family","The potato is a small, hard seed found in the potato family of plants. The seed contains a starch called starch that is a mixture of two different components—glucose and starch. Glucose can help a plant grow, while starch serves the same",A,3,2,,A,3,3,,neither,2,2,,,,,,,,,,,43_895_740
"The painting that inspired him was a work of art, but the ""The man who has made the most important, most fucking fucking stupid shit I've ever said in my life, and most fucking fucking shitty dumb shit to come. All of the dumbest fucking","The painting is from 1782, and was originally done by William Soudre. It depicts a man in a white shirt and cap, who is holding a sword in his right hand and a pistol on his left, with a sword in the left hand.",A,1,2,,A,2,3,,A,1,2,,,,,,,,,,,4_15_268
"The painting was stolen from a storage facility in California on Thursday by two men who were driving a car and took it to an address on the city's Southside, police say.

An officer stopped both men and they told the officer they wanted the painting","The painting is of a woman with an expression on her face which shows her having a sexual encounter while standing. She is holding a knife in one hand, a cigarette in the other, and holding her own head in front of her with her right hand. Her",A,4,2,,A,3,3,,neither,4,3,,,,,,,,,,,5_439_346
"The horse is not the first animal to be considered a ""feral"" animal. But the notion that they are somehow ""inhumane"" is so far removed from reality that we're still talking about them in the media today, as the American Humane Association points","The horse that ran away from the police, and the horse that ran in terror and fear, both are examples of human nature. It is the nature of humanity to act out our emotions in order to please others, even those that we are not in the position",B,4,4,,B,4,3,,A,5,2,,,,,,,,,,,13_659_176
"Once upon a time in America, a little girl named Lucy was a pretty girl with a pretty mouth. She was also a pretty little slut. Her cunt was a filthy, piss-stained, dump. She had no dignity, just like the rest of the human race","Once upon a time, the internet was the place for all things geek.

Now, we are in a world where all of the internet content is controlled by giant corporations that use the Internet as a tool to sell us crap that's not really cool, or that",A,5,4,,A,4,4,,both,3,4,,,,,,,,,,,23_367_458
"The city of Toronto's police force is one the most corrupt, incompetent, and incompetent on the entire planet. In fact, according to a report by the Toronto Star, the entire force ""lacks the skills and the resources to stop the next Toronto bomber.""","The city of Portland has been ordered by the U.S. Court of Appeals for the 4th District to pay nearly $200,000 to a man who claimed police mistreated him when he was held in custody and subjected to a pat down without probable cause",both,2,3,,both,3,3,,A,3,4,,,,,,,,,,,40_431_622
"The road to the 2016 NBA Draft is one of the most dangerous in professional sports, where the prospect is given a platform to be a "" "" and it is the time to start to start to get to know the person and get some information. I could not","The road to a full-on revolution was paved in the late 1970s with the rise of the anti-globalization movement.

This movement, which was led by a group of young intellectuals, young activists, and a handful of politicians, argued that",A,2,5,,A,3,4,,A,1,5,,,,,,,,,,,18_421_324
"The movie has been canceled, the studio said.

The movie had been the subject of a major studio boycott after the producer of the movie, Michael Moore said that he was canceling the upcoming movie based on ""Fahrenheit 11/ 9 .""
","The movie will also feature a new storyline, as the series will be rebooted, with a new cast of characters and a new director.

According to EW, the film will take place 20 years prior in the year 2026 when an asteroid slams into",A,4,5,,A,5,4,,neither,4,3,,,,,,,,,,,36_115_744
"The city of Toronto's police force is one the most corrupt, incompetent, and incompetent on the entire planet. In fact, according to a report by the Toronto Star, the entire force ""lacks the skills and the resources to stop the next Toronto bomber.""","The city of Cleveland's new police chief has a problem.

""It's a very sad, sad time,"" the mayor and the state's top cop said Thursday. He urged his fellow officers to ""stop the madness"" of the Cleveland riot that has",both,2,3,,both,3,3,,both,3,3,,,,,,,,,,,40_799_97
"The book is called The New Jim Nabisco, and the rest of the series is the new Jim, in a nutshell, with a ""B"" in bollocks.<|endoftext|>This is a rush transcript. Copy may not be in its final form.
","The book is a great, and you get the point of it. The point is that people are idiots and they're not very smart.
The government has no power over us or our bodies, no authority over the way we are or how we are supposed",B,3,4,,B,2,4,,B,2,4,,,,,,,,,,,16_793_747
"The lake and river were so full of ice, the city didn't even notice until it was too late. The only thing to watch over was the city's fire department, which has a lot of people to serve, and which is not always staffed with firefighters","The lake is known locally as the ""lake of death"". In the 1930s the lake was drained, the water was dumped into a dumpster and the waste was burned.

Now, in 2010, a new waste stream has come to the surface of",both,3,2,,both,3,3,,A,3,3,,,,,,,,,,,31_442_735
"The horse-drawn car has been in use in the U.S. for more than a century. In the 1920s, the first one was made in the U.S. The first was made in the U.S., and the first was in","The horse is the most important animal in a horse's life. It gives them life. If you have a horse, it will give you life. If you don't have a horse, it can't give you life.

It's important that you",neither,1,2,,neither,2,3,,neither,2,1,,,,,,,,,,,12_349_340
"The year is 1910. The world's population is about to explode, with an estimated 6-10 million people. As a result of the massive increase, the United States is experiencing a boom. The new technology, the steam engine, is used to create the first passenger jet",The year is 1910. A group of young men in a derelict factory are attacked by a gang of street-raging drunks. The men are badly burned and their corpses are dumped in a septic system. They have no way of getting out of the cesspit,B,4,3,,B,5,2,,B,4,5,,,,,,,,,,,26_614_505
"The last time the NHL saw a team that didn't have a goalie on its roster was in the 1980s. But, as the NHL prepares to start a new era of expansion, it's important to look at how the current crop of goalies fared over that","The last time I went to a restaurant I was a little over the moon. I had the time and a few hours of my life, to be in a place where people can watch live from the front, the front-page, the back of the newspaper,",neither,5,3,,neither,4,3,,neither,4,2,,,,,,,,,,,28_624_573
"The movie's soundtrack, ""Losing Our Religion,"" is out now on Amazon.<|endoftext|>It's been a rough few days for Republican frontrunner Mitt Romney, whose campaign is in turmoil, with a poll showing him trailing the frontrunner for the Republican nominations.

","The movie ""Star Wars"" has been getting lots of press lately. And it's easy to see why. It's a massive property with billions of dollars worth of merchandising, and an enormous fan base that is passionate about the film franchise.

",A,1,3,,A,3,4,,A,4,4,,,,,,,,,,,38_71_388
"The city of Chicago, IL (74707)

Chicago, IL, (708) 763-4363

Toll Free: 866-744-5333

Email: cchicagoflives@hotmail","The city of St. Louis, Missouri, has been in a state of chaos since Donald Trump's victory over Hillary Clinton in the U.S. presidential election on November 8th. In the wake of the election, protests and looting have continued as people in",B,5,5,,B,4,4,,B,5,5,,,,,,,,,,,39_105_58
"The pizza shop's owner said he was surprised to discover there were no signs in the window warning patrons not to eat at the business that has had trouble with the restaurant's owners.

But when the owner went inside, he says he was confronted with customers","The pizza delivery guy is the person who takes the pizza box and runs with it.

Use this to remove the white, red and black dirt, and replace the old, white, green and black. This helps to prevent you from having to use these",A,3,1,,A,3,2,,neither,4,1,,,,,,,,,,,2_276_259
"The pizza delivery guy is the person who takes the pizza box and runs with it.

Use this to remove the white, red and black dirt, and replace the old, white, green and black. This helps to prevent you from having to use these","The pizza delivery service Pizza Hut is looking to expand, according to a report.

Pizzeria Hut is planning to open a new location in the city by the end of the year, the report said.

The company is expected to open the",neither,1,5,,neither,2,4,,neither,1,3,,,,,,,,,,,2_587_61
"The chicken is the most important thing in a dish. It can't just be left out and forgotten. A good chicken is something you're going to eat all day every day. If it's not done right, it's not going to be cooked well.","The chicken and waffle cone is a classic. It is the most popular, and most popular in the United States for its fluffy, golden and crunchy, crunchy, crispy, crunchy, crunchy, crispy, crispy and crunchy.

",A,4,1,,A,5,2,,neither,3,1,,,,,,,,,,,6_542_373
"The potato, a little bulbous in the middle, is the only vegetable to be cultivated in the United States, although it is the only vegetable that can be eaten as a soup. The soup is made from a potato, which has been dried and boiled.","The potato is a strange animal, and the way it was treated as a food item in the 19th century was the worst kind of wrong. The potato was a monster, and one that was not only bad for the planet but was bad for our health and",B,4,1,,B,4,2,,B,3,2,,,,,,,,,,,42_329_335
"The year is 1910.

The first woman to walk on the Moon has fallen ill and is unable to walk or even move. It is feared that she may die of cancer before the first humans reach the Moon.

The United States Congress is asked to authorize an","The year is 1910. A young black man has just arrived in the US to find a job and a new family, but the racism of an old, white, racist system remains as the black community is still denied a place in the USA, a system which they themselves are",both,4,4,,B,4,3,,B,2,2,,,,,,,,,,,25_214_461
"The movie ""The Wolf of Wall Street"" was released in 2013. While there is a lot of money at stake, it is also clear that the movie was an investment to make millions. The movie was financed through the sale of ""The Stock Market."" However","The movie has been canceled, the studio said.

The movie had been the subject of a major studio boycott after the producer of the movie, Michael Moore said that he was canceling the upcoming movie based on ""Fahrenheit 11/ 9 .""
",B,5,4,,B,4,5,,B,3,4,,,,,,,,,,,36_14_863
"The city of Toronto has agreed to buy a property from the developer of the old Eaton Centre complex for $3.8 million, the same amount Toronto received in its bid to redevelop a new arena site in Vaughan.

Toronto's bid to purchase the complex","The city of Chicago, IL (74707)

Chicago, IL, (708) 763-4363

Toll Free: 866-744-5333

Email: cchicagoflives@hotmail",neither,4,5,,neither,5,4,,neither,5,5,,,,,,,,,,,39_436_309
"The road from the University of Washington to the Capitol is about to get much dirtier.


A new report says Washington's surface air pollution will reach ""unprecedented levels,"" and that the amount of carbon monoxide and particulate matter in Washington air","The road to the top

When you're a teenager, or even a young adult who's trying to figure out the world and its people, it can feel like you're stuck in some kind of limbo between a life of relative ease and constant, unrel",A,4,3,,A,5,5,,A,3,4,,,,,,,,,,,19_10_896
"The city of Portland, one of the most economically depressed parts of the country, is trying to get the money it needs to stay alive by closing a few shops.
A shop in the city's downtown core has been closed by the city government, and that","The city of St. John's is facing criticism for its response to an outbreak of syphilis that has killed nine people. A report on the city's response to the epidemic by the health department says health officials are ""too slow to act and too slow to",both,4,4,,both,3,3,,both,3,5,,,,,,,,,,,41_303_762
"The painting is on display at the American Museum in Baghdad

The painting, which is in a museum in the Iraqi city of Basra, is on display at the American Museum in Iraq

The painting was painted in the early 1960s

The","The painting was stolen from a storage facility in California on Thursday by two men who were driving a car and took it to an address on the city's Southside, police say.

An officer stopped both men and they told the officer they wanted the painting",B,1,4,,B,1,3,,B,2,4,,,,,,,,,,,5_189_67
"The movie is a bit of a disappointment. It is pretty terrible in every way, and its production values are atrocious, and it does not have the slightest plot to it at all. There is nothing interesting happening, and it is just another mediocre action movie","The movie is a good one, though it could be argued that it's not the best movie of 2012. There are a few plot holes, a few questionable choices, and one glaring misjudgment by director Alfonso Cuarón. But overall, it",both,3,4,,both,4,4,,both,4,4,,,,,,,,,,,37_707_796
"The painting is called ""The Last of the Old,"" and it shows a woman who seems to live on earth. Her face is hidden by a veil, her hair is tied back in a ponytail, and her dress seems to be a kind of skirt.","The painting that inspired him was a work of art, but the ""The man who has made the most important, most fucking fucking stupid shit I've ever said in my life, and most fucking fucking shitty dumb shit to come. All of the dumbest fucking",B,5,1,,B,4,2,,B,5,1,,,,,,,,,,,4_890_27
"The lake of a river, the waters of whose stream are not in danger of being drowned; and the sea which has not ceased to be a sea and the waters thereof continue to be a sea. But in a very remote country and a country in which there","The lake is now closed to boaters, which is the best thing about the whole thing.

The two men who created the world's most toxic and odorous and toxic, a toxic, toxic, odorous, odorous, odorous, od",both,3,1,,both,3,1,,B,1,1,,,,,,,,,,,32_456_653
"The last time I came to the United States, I had no idea where I was. I was a 17-year-old, living in a small, tiny house that looked like a shed in a dump truck. The air was so toxic that when I got","The last time he played a game on a major stage was when he scored in his first career match, against Manchester United in December 2015.

The 25-year-old's return to action was expected following the injury to David de Gea which had kept",both,4,4,,both,3,4,,A,5,4,,,,,,,,,,,29_763_404
"
The president of the country's largest university, University of Illinois, President Michael Drake, is facing criticism for a controversial video that he posted to Facebook.
The video, posted Thursday, depicts Drake and a friend, a woman, discussing a ""toxic masculinity culture""","The president of the country's largest hospital group said Monday that the nation's second-worst hospital-in-chief is ""in a state of crisis,"" and that it's ""time to move beyond"" the controversy and focus more on how it's doing business.

",B,5,4,,B,4,5,,both,5,4,,,,,,,,,,,9_740_655
"The president of the country's largest university, University of Illinois, President Michael Drake, is facing criticism for a controversial video that he posted to Facebook.

The video, posted Thursday, depicts Drake and a friend, a woman, discussing a ""toxic masculinity culture""","The president of the country's largest university said Wednesday that he is ""shocked and disappointed"" by the recent ""shameful"" video from the University of Florida.

""I am shocked and disappointed that the University of Florida would do such a thing in such a",both,5,4,,both,4,5,,both,5,5,,,,,,,,,,,10_350_403
"The president of the country's biggest bank has said that the UK is the ""worst country in the world"" with ""the most dangerous"" banking sector.""The UK, the United States, Canada, Australia, New Zealand, Ireland, Germany, France and Singapore are the worst","The president of the country's largest university is calling on the university to remove a statue of a Nazi-era leader from the campus grounds.

""It is the most abhorrent thing I have read in a long time,"" said the Rev. William J. Barber of",both,3,5,,both,4,4,,both,4,2,,,,,,,,,,,11_266_41
"The country's largest city has seen an average of 10 calls to its emergency number a day, despite the fact that people in the city are on the streets and unable to reach the hospital.

The call centre is staffed with emergency nurses, but the number","The country's biggest bank is asking a federal judge to throw out a lawsuit that accuses the nation's largest bank of violating the Fair Trade Act by failing to pay employees for overtime and other time worked.

In the second legal blow to Wells Fargo in two",both,4,4,,both,4,4,,both,5,4,,,,,,,,,,,35_759_665
"The movie is a good one, though it could be argued that it's not the best movie of 2012. There are a few plot holes, a few questionable choices, and one glaring misjudgment by director Alfonso Cuarón. But overall, it","The movie is a good one, though it could be argued that it's not the best movie of 2012. There are a few plot holes, a few questionable choices, and one glaring misjudgment by director Alfonso Cuarón. But overall, it",both,4,4,,both,4,4,,both,4,4,,,,,,,,,,,37_698_56
"The pizza industry, as a whole, has become a bit of a mess. The industry has been struggling for years to find its place in the economy, and the recent economic crisis has left an awful lot of people looking for a solution to that problem. One","The pizza box, a tiny box that holds a pizza, is a perfect way to prepare a pizza. It is simple to clean, and you can freeze. The frozen pizza box is the perfect place to freeze a chicken or turkey breast.

The other",A,4,3,,A,5,4,,A,3,4,,,,,,,,,,,0_454_505
"The road to the 2016 NBA Draft is one of the most dangerous in professional sports, where the prospect is given a platform to be a "" "" and it is the time to start to start to get to know the person and get some information. I could not","The road to a second straight win at home has been nothing short of abject.

The fact that we have been playing in this miserable place for the last 10 years, is what has caused this to all start so bad for us.

If",B,2,4,,B,3,4,,both,1,3,,,,,,,,,,,18_389_15
"The movie has been canceled, the studio said.

The movie had been the subject of a major studio boycott after the producer of the movie, Michael Moore said that he was canceling the upcoming movie based on ""Fahrenheit 11/ 9 .""
","The movie is a flop. The movie is a total flop.

That's what I'm told when I ask about the movie that was made for the 2011 Academy Awards. The movie is an abomination, and its star, Ryan Reynolds,",both,4,3,,both,5,3,,both,4,3,,,,,,,,,,,36_623_805
"The lake in the southern part of the Arctic Circle, which is a melting sea of permafrost, is melting faster than previously thought, and is becoming more rapidly unstable due to the extreme cold. In the last year alone, more than 30,000 tons","The lake was covered in a thick layer of snow at about 9pm on Saturday, which has been causing problems for local drivers, according to the city.

The lake is about 20 metres deep and covers about 200 acres.

It had not been",A,3,4,,A,4,5,,both,3,5,,,,,,,,,,,32_535_798
"The country's largest public pension plans were among the companies hit by the collapse of a major UBS bank, as well as other financial institutions, which has sent panic through markets.

The collapse of the Swiss private equity firm UBS, which is now","The country is a mess, and it could easily be worse.

But that's just what the government wants you to believe.

The Government's National Infrastructure Investment Plan (NIIP), which the government hopes will boost the economy, was announced",both,3,4,,both,3,4,,both,4,2,,,,,,,,,,,35_528_562
"The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the","The lake was dry and cold, but the cold was not the least cold I have ever felt in my life. It was like the cold was just too warm… and that's exactly how it feels when there isn't the slightest difference between this temperature and the",B,4,3,,B,4,4,,neither,2,2,,,,,,,,,,,30_130_751
"The pizza industry may be booming, but there's something missing from its offerings: the traditional slice of pizza. In a country that prides itself on fresh food options (including a plethora of pizza parlors), the pizza industry has long struggled to find a","The pizza box is the most awesome invention in the history of humanity.

It's a plastic, paper, disposable, garbage-pile-pile of junk and garbage you can pop into a box and throw away, and it works like magic!",B,5,3,,B,4,3,,A,5,2,,,,,,,,,,,1_722_411
"The lake was covered in a thick layer of snow at about 9pm on Saturday, which has been causing problems for local drivers, according to the city.

The lake is about 20 metres deep and covers about 200 acres.

It had not been","The lake of a river, the waters of whose stream are not in danger of being drowned; and the sea which has not ceased to be a sea and the waters thereof continue to be a sea. But in a very remote country and a country in which there",both,4,3,,both,5,3,,A,1,5,,,,,,,,,,,32_214_80
"Once upon a time, a man named Tom was having a bad time of it and he was feeling the urge to get a vasectomy. He was going to go to the hospital and get the vasectomy. He had a vasectomy when was 19, he was in","Once upon a time, there was a girl whose father was a doctor. She liked him, and was very happy for him, but he never liked her. She never really loved him; she was very unhappy and lonely and didn't really know how to deal with him",B,2,3,,B,2,3,,both,3,2,,,,,,,,,,,21_449_764
"The potato is one of the most popular vegetables, and is widely considered to be healthier than the green leafy vegetable, broccoli, because both are high in fiber.

But it is also one of the biggest food items consumed.

Researchers from University","The potato is a small, hard seed found in the potato family of plants. The seed contains a starch called starch that is a mixture of two different components—glucose and starch. Glucose can help a plant grow, while starch serves the same",neither,3,2,,neither,2,3,,neither,2,2,,,,,,,,,,,43_402_764
"The pizza oven is an oven that has a gas inside it that is used to heat and cook food. The word has been used to mean the substance that is made up of atoms, and when atoms are formed, they are referred to as boron or","The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and",B,4,3,,B,4,4,,B,1,4,,,,,,,,,,,0_231_856
"The year is 1910. In a vast, alien wasteland of desert, a vast, alien desert, is the abandoned remains of the infamous derelict oil tanker that sank off the coast of Florida in 1874. The wreck of the wrecked ship was the worst wreck disaster in","The year is 1910. The world's population is about to explode, with an estimated 6-10 million people. As a result of the massive increase, the United States is experiencing a boom. The new technology, the steam engine, is used to create the first passenger jet",B,3,4,,B,4,5,,A,3,4,,,,,,,,,,,26_43_798
"The president of the country's largest university, University of Illinois, says the president of the country's largest university, University of Illinois, is calling on the school to fire a professor whose book criticized Trump.

""I think that this is a really terrible idea,"" said","The president of the country's largest university, University of Illinois, President Michael Drake, is facing criticism for a controversial video that he posted to Facebook.

The video, posted Thursday, depicts Drake and a friend, a woman, discussing a ""toxic masculinity culture""",both,1,5,,B,1,4,,both,3,5,,,,,,,,,,,10_13_398
"Once upon a time, when I started playing video games, there weren't much choices to make. You could choose from any of the many options that were available for games like Quake or Call of Duty. In those games, you could choose your character by picking a class","Once upon a time, there was an old lady who was sitting next to her with an open container of water on the floor, and a paper bag of the water on top of her, which she had to throw away in the garbage can.

In the US",neither,4,3,,neither,5,4,,neither,2,2,,,,,,,,,,,22_816_523
"The city of Portland has been ordered by the U.S. Court of Appeals for the 4th District to pay nearly $200,000 to a man who claimed police mistreated him when he was held in custody and subjected to a pat down without probable cause","The city of Los Angeles will soon start installing a $1,000-a-month solar-powered roof that will allow homeowners to install solar panels on their roofs.

The roof, which is called the ""Solar Roof,"" is the product of a",A,3,3,,A,3,4,,A,4,4,,,,,,,,,,,40_594_236
"The city is hoping to have the project completed by the end of next year.

The project is part of a new development called South Shore.

The project, designed to create a mixed-use district, includes two office buildings along the banks of","The city of St. John's is facing criticism for its response to an outbreak of syphilis that has killed nine people. A report on the city's response to the epidemic by the health department says health officials are ""too slow to act and too slow to",B,2,4,,B,2,3,,B,4,5,,,,,,,,,,,41_556_654
"The chicken is not just an animal. It is also one of the world's most important cultural treasures.

In the 19th century, chickens were a staple of the American diet, especially during the Great Depression when the meat industry went into decline. Today","The chicken soup factory collapse that killed eight people and wounded dozens more was caused by a faulty chicken manure composter and was an ""accident"" rather than a deliberate act, a US government watchdog agency has confirmed. The US Department of Agriculture's inspector general found",B,5,4,,B,4,5,,B,5,5,,,,,,,,,,,8_540_55
"The pizza box is the most awesome invention in the history of humanity.

It's a plastic, paper, disposable, garbage-pile-pile of junk and garbage you can pop into a box and throw away, and it works like magic!","The pizza industry may be booming, but there's something missing from its offerings: the traditional slice of pizza. In a country that prides itself on fresh food options (including a plethora of pizza parlors), the pizza industry has long struggled to find a",A,3,5,,A,3,4,,B,2,5,,,,,,,,,,,1_189_758
"The city of Houston's homeless crisis has been on the rise for years now, but it has gotten so bad that people are starting to get killed while trying to escape the crisis and the law isn't keeping pace.

Last month a woman called 911 after","The city of Chicago, IL (74707)

Chicago, IL, (708) 763-4363

Toll Free: 866-744-5333

Email: cchicagoflives@hotmail",A,3,5,,A,3,4,,A,4,5,,,,,,,,,,,39_99_57
"The book of the Bible, the Bible is literally a giant fucking mess of bullshit. I've never seen so much garbage. If you are a Christian or a Jew or atheist, you are going to feel like a complete idiot if you are reading this. It","The book is written in such a simple and clear way that you could easily read it in a split second.


A few days later, I found myself sitting with my friend's mom and father, and her father sitting next to him, and I could",A,4,3,,A,4,2,,A,3,2,,,,,,,,,,,17_759_58
"The book's description was so bad it was terrible, and the author didn't have the balls to even try to write it. The book was written by an illiterate, stupid woman who had absolutely zero talent whatsoever. The author's description was such poor writing","The book of the Book of Mormon

The Book of Mormon, by the way is a fictional book of a fictitious author. The book is not real, and the author is not who he says he is. It is not true.



",A,3,4,,A,4,4,,A,3,3,,,,,,,,,,,15_515_141
"The chicken and the pig are two of those things that I've been trying to avoid for the past five years.

I have tried to keep them separate from one another. When I went on a date with my best man, we got together to eat","The chicken nuggets have been an American staple for more than a century. The chicken is the most popular and healthy fast food item. However, the chicken is also a meat product that is considered to be highly unsustainably and inhumanely produced.

",B,2,4,,B,3,4,,B,3,3,,,,,,,,,,,6_516_847
"The book is written by David W. Satter, and is available in paperback and paperback and ebook formats from Amazon and iBooks.

In the aftermath of the Great Recession, most Americans are living beyond their means and the financial system is in shamb","The book of Mormon and the world are two sides of one coin. It is a book written for children and adults that is not meant for them. The Book of Mormon is not intended for adults, nor should its use be.

It should be left",neither,2,5,,neither,3,5,,neither,2,2,,,,,,,,,,,16_78_148
